name,gender,job,house,patronus,species,blood_status,loyalty,skills,birth,death,source,incantation,type,effect,characteristics,alias_names,titles,category,hand,light,difficulty,inventors,ingredients,side_effects,time,title
Severus Snape,Male,Professor of Potions | Head of Slytherin,Slytherin,Doe,Human,Half-blood,,Extremely skilled at potions and Occlumency,9 January 1960,"2 May, 1998",characters,,,,,,,,,,,,,,,
Vincent Crabbe,Male,Student,Slytherin,Unknown,Human,Pure-blood,,Beater,c. 1979-1980,"2 May, 1998",characters,,,,,,,,,,,,,,,
Bloody Baron,Male,Slytherin House Ghost,Slytherin,Unknown,Ghost,Pure-blood or half-blood,,Controlling Peeves,Post 982,11th century,characters,,,,,,,,,,,,,,,
Anthony Goldstein,Male,Student,Ravenclaw,Non-corporeal,Human,Half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Prefect, 1 September 1979- 31 August 1980,,characters,,,,,,,,,,,,,,,
Terry Boot,Male,Student,Ravenclaw,Unknown,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,"Potions, also knowledgable about Charms",1 September 1979- 21 April 1980,,characters,,,,,,,,,,,,,,,
Zacharias Smith,Male,Student,Hufflepuff,Unknown,Human,Pure-blood or half-blood,Dumbledore's Army,Chaser,1 September 1979 - 2 May 1981,,characters,,,,,,,,,,,,,,,
Barty Crouch Sr.,Male,Head of the Department of International Magical Cooperation,,Non-corporeal,Human,Pure-blood,Minister of Magic,"Multilingual, able to fight the Imperius curse",Pre 1940,"27 May, 1995",characters,,,,,,,,,,,,,,,
Salazar Slytherin,Male,Founder of Slytherin,Slytherin,Unknown,Human,Pure-blood,,Accomplished Legilimens and one of the first recorded Parselmouths,Pre 976,11th century,characters,,,,,,,,,,,,,,,
Frank Longbottom,Male,Auror,Gryffindor,Unknown,Human,Pure-blood,Original Order of the Phoenix,Auror, 1 September 1957 - 31 August 1959 or earlier,,characters,,,,,,,,,,,,,,,
Alastor Moody,Male,Auror ,,Non-corporeal,Human,Pure-blood,Order of the Phoenix,"A highly accomplished Auror and an outstanding duellist, also skilled in non-verbal magic",Pre 1960,"27 July, 1997",characters,,,,,,,,,,,,,,,
Padma Patil,Female,Student,Ravenclaw,Non-corporeal,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Prefect, 1 September 1979 - 21 April 1980,,characters,,,,,,,,,,,,,,,
Godric Gryffindor,Male,Founder of Gryffindor,Gryffindor,Unknown,Human,Pure-blood or half-blood,,The most accomplished duellist of his time,Pre 976,11th century,characters,,,,,,,,,,,,,,,
Rowena Ravenclaw,Female,Founder of Ravenclaw,Ravenclaw,Unknown,Human,Pure-blood or half-blood,,"Extremely skilled witch, known for her intelligence and wisdom",Pre 976,11th century,characters,,,,,,,,,,,,,,,
Barty Crouch Jr.,Male,Professor of Defence Against the Dark Arts (as Alastor Moody) ,,Unknown,Human,Pure-blood or half-blood,Lord Voldemort  | Death Eaters,Skilled potioneer,1962,1995-1996,characters,,,,,,,,,,,,,,,
Alecto Carrow,Female,Professor of Muggle Studies,Slytherin,Unknown,Human,Pure-blood or half-blood,Lord Voldemort  | Death Eaters,Spreading anti-Muggle propaganda,Pre 1981,,characters,,,,,,,,,,,,,,,
Amycus Carrow,Male,Professor of Dark Arts,Slytherin,Unknown,Human,Pure-blood or half-blood,Lord Voldemort  | Death Eaters,Cruciatus Curse,Pre 1982,,characters,,,,,,,,,,,,,,,
Helga Hufflepuff,Female,Founder of Hufflepuff,Hufflepuff,Unknown,Human,Pure-blood or half-blood,,Food-related Charms. Many traditional Hogwarts recipes originated with her,Pre 976,11th century,characters,,,,,,,,,,,,,,,
Walden Macnair,Male,Executioner for the Committee for the Disposal of Dangerous Creatures,Slytherin,Unknown,Human,Pure-blood or half-blood,Lord Voldemort  | Death Eaters,Liaising with giants,In or before 1970s,,characters,,,,,,,,,,,,,,,
Susan Bones,Female,Student,Hufflepuff,Unknown,Human,Half-blood,Dumbledore's Army,"Defensive spells, learned with Dumbledore's Army",1 September 1979 - 31 August 1980,,characters,,,,,,,,,,,,,,,
Ernest Macmillan,Male,Student,Hufflepuff,Boar,Human,Pure-blood,Dumbledore's Army,"Revising, being a Prefect, getting the wrong end of the stick",21 April 1980 - 31 August 1980,,characters,,,,,,,,,,,,,,,
Ronald Bilius Weasley,Male,Student,Gryffindor,Jack Russell terrier,Human,Pure-blood,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Wizard chess | Quidditch goalkeeping,1 March 1980,,characters,,,,,,,,,,,,,,,
Cedric Diggory,Male,Student,Hufflepuff,Unknown,Human,Pure-blood,,Skilled Seeker,1 September - 30 October 1977,"24 June, 1995",characters,,,,,,,,,,,,,,,
Michael Corner,Male,Student,Ravenclaw,Squirrel,Human,Half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Potions, 1 September 1979 - 31 August 1980,,characters,,,,,,,,,,,,,,,
Hannah Abbott,Female,Student,Hufflepuff,Non-corporeal,Human,Half-blood,Dumbledore's Army,"Defensive spells, learned with Dumbledore's Army",1 September 1979 - 31 August 1980,,characters,,,,,,,,,,,,,,,
Percy Ignatius Weasley,Male,Student|Prefect|  Personal assistant to Barty Crouch Snr ,Gryffindor,Unknown,Human,Pure-blood,Order of the Phoenix| Hogwarts School of Witchcraft and Wizardry |British Ministry of Magic,Intelligent| hard-working| a model student,"22 August, 1976 ",,characters,,,,,,,,,,,,,,,
Seamus Finnigan,Male,Student,Gryffindor,Fox,Human,Half-blood,Dumbledore's Army | Hogwarts School of Witchcraft and Wizardry,Pyrotechnics, 1 September 1979- 31 August 1981,,characters,,,,,,,,,,,,,,,
Angelina Johnson,Female,Student,Gryffindor,Unknown,Human,Unknown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser,"24 – 30 October, 1977",,characters,,,,,,,,,,,,,,,
Sirius Black,Male,,Gryffindor,Unknown,Human,Pure-blood,Order of the Phoenix,Animagus| nonverbal magic| Charms,"3 November, 1959","18 June, 1996",characters,,,,,,,,,,,,,,,
Katie Bell,Female,Student,Gryffindor,Unknown,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser, 1 September 1978- 31 August 1979,,characters,,,,,,,,,,,,,,,
Lee Jordan ,Male,Student,Gryffindor,Unknown,Human,Pure-blood or half-blood,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Quidditch commentary | broadcasting, 1 September 1977- 31 August 1978,,characters,,,,,,,,,,,,,,,
Peter Pettigrew,Male,The Servant of Lord Voldemort,Gryffindor,,Human,Half-blood or pure-blood,Lord Voldemort| Death Eaters,Animagus,1 September 1959- 31 August 1960,Late March 1998,characters,,,,,,,,,,,,,,,
Alicia Spinnet,Female,Student,Gryffindor,Unknown,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser,1 September 1977- 31 August 1978,,characters,,,,,,,,,,,,,,,
James Potter,Male,,Gryffindor,Stag,Human,Pure-blood,Order of the Phoenix,Animagus| Seeker,"27 March, 1960","31 October, 1981",characters,,,,,,,,,,,,,,,
Parvati Patil,Female,Student,Gryffindor,Unknown,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Divination, 1 September 1979- 21 April 1980,,characters,,,,,,,,,,,,,,,
(Bill) William Arthur Weasley,Male,Curse-Breaker for Gringotts Bank,Gryffindor,Unknown,Human (Werewolf traits),Pure-blood,Order of the Phoenix,Highly skilled curse-breaker for Gringotts Wizarding Bank| very intelligent| past Hogwarts Head Boy,"29 November, 1970",,characters,,,,,,,,,,,,,,,
Romilda Vane,Female,Student,Gryffindor,Unknown,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Spiking Chocolate Cauldrons with love potion, 1 September 1981- 31 August 1982,,characters,,,,,,,,,,,,,,,
Dean Thomas,Male,Student,Gryffindor,Unknown,Human,Muggle-born,Dumbledore's Army | Hogwarts School of Witchcraft and Wizardry,Chaser, 1 September 1979- 31 August 1980,,characters,,,,,,,,,,,,,,,
Cormac McLaggen,Male,Student,Gryffindor,Unknown,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Quidditch Keeper, 1 September 1978- 31 August 1979,,characters,,,,,,,,,,,,,,,
Ginevra (Ginny) Molly Weasley,Female,Student,Gryffindor,Horse,Human,Pure-blood,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Chaser| Bat-Bogey hex,"11 August, 1981",,characters,,,,,,,,,,,,,,,
Minerva McGonagall,Female,Professor of Transfiguration | Head of Gryffindor,Gryffindor,Cat,Human,Half-blood,Albus Dumbledore | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Animagus ,4 October,,characters,,,,,,,,,,,,,,,
George Weasley,Male,Student,Gryffindor,Unknown,Human,Pure-blood,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Beater," 1 April, 1978 ",,characters,,,,,,,,,,,,,,,
Arthur Weasley,Male,Head of the Misuse of Muggle Artefacts Office,Gryffindor,Weasel,Human,Pure-blood,Order of the Phoenix| British Ministry of Magic,Muggle world works,"6 February, 1950",,characters,,,,,,,,,,,,,,,
Cho Chang,Female,Student,Ravenclaw,Swan,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Seeker,1 September 1978-31 August 1979,,characters,,,,,,,,,,,,,,,
Luna Lovegood,Female,Student,Ravenclaw,Hare,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Spotting Nargles,"13 February, 1981",,characters,,,,,,,,,,,,,,,
Neville Longbottom,Male,Student,Gryffindor,Non-corporeal,Human,Pure-blood,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Herbology,"30 July, 1980",,characters,,,,,,,,,,,,,,,
Charles Weasley,Male,Dragonologist,Gryffindor,Unknown,Human,Pure-blood,Order of the Phoenix | Gringotts Wizarding Bank,Highly skilled dragon trainer| one-time Gryffindor Seeker,"12 December, 1972",,characters,,,,,,,,,,,,,,,
Hermione Jean Granger,Female,Student,Gryffindor,Otter,Human,Muggle-born,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Almost everything,"19 September, 1979",,characters,,,,,,,,,,,,,,,
Oliver Wood,Male,Student,Gryffindor,Unknown,Human,Pure-blood or Half-blood,Hogwarts School of Witchcraft and Wizardry,Keeper|  Captain of the Gryffindor Quidditch team, October 1975 - 31 August 1976,,characters,,,,,,,,,,,,,,,
Merula Snyde,Female,"['Barmaid at the Three Broomsticks Inn (formerly)', ""Employee at Zonko's Joke Shop(formerly)"", ""Barmaid at the Hog's Head Inn(formerly)"", 'Employee of Department of Magical Maintenance']",Slytherin,Non-corporeal,"Human, Flobberworm (briefly), Puffskein (briefly), Half-human/half-frog (briefly)",Pure-blood or half-blood,,,,,master,,,,,"['The Most Powerful Witch at Hogwarts (by herself)', 'Murtrula (by Rowan Khanna)', 'The Most Powerful Stirrer at Hogwarts (by herself)', 'The Most Delicious Witch at Hogwarts (by herself)', 'The Most Powerful Snyde (by herself)', ""The Most Powerful Puffskein at Hogwarts (by Jacob's sibling)"", 'Merula Goldenhands', 'The Creature from the Black Lake']",[],,,,,,,,,
Marietta Edgecombe,Female,[],Ravenclaw,Non-corporeal,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Poppy Pomfrey,Female,Matron at Hogwarts School,,Non-corporeal,Human ,Pure-blood or half-blood,Hogwarts School of Witchcraft and Wizardry,Skilled medical healer,pre 1954,,characters,,,,,,,,,,,,,,,
Sybill Patricia Trelawney,Female,"['Professor of Divination at Hogwarts School (1981–1996, 1997–?)', 'Head of the Divination Workshop at Hogwarts School (possibly)', 'Author']",Ravenclaw,Non-corporeal,Human,Half-blood,,,,,master,,,,,['The False Prophet (by Lenny Pindlebrook)'],['Professor'],,,,,,,,,
Nymphadora Lupin (née Tonks),Female,['Auror'],Hufflepuff,"Jack Rabbit (c. 1986), Wolf (1995-1998)",Human,Half-blood,,,,,master,,,,,"['Dora (by Andromeda Tonks, Edward Tonks and Remus Lupin)', 'Tonks (by friends)']",['Student guide'],,,,,,,,,
Molly Weasley (née Prewett),Female,[],Gryffindor,Non-corporeal,Human,Pure-blood,,,,,master,,,,,['Mollywobbles (by Arthur Weasley)'],[],,,,,,,,,
Sirius Black III,Male,[],Gryffindor,Non-corporeal,Human,Pure-blood,,,,,master,,,,,"['Padfoot (by Marauders and the trio)', 'Snuffles (by the trio)', 'Stubby Boardman (by The Quibbler)']",[],,,,,,,,,
Gellert Grindelwald,Male,Revolutionary leader(c. 1920s[6] – 1945),,,Human ,Pure-blood or half-blood,Gellert Grindelwald's Acolytes,Duelling,1883,"March, 1998",characters,,,,,,,,,,,,,,,
Robyn Huang Thistlethwaite,Female,[],Gryffindor,Polar Bear,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Beater'],,,,,,,,,
Pomona Sprout,Female,"['Herbologist', 'Head of the Herbology department at Hogwarts School of Witchcraft and Wizardry (post-1975–pre-2020)', 'Head of Hufflepuff House at Hogwarts School of Witchcraft and Wizardry (pre-1984–pre-2014)']",Hufflepuff,Non-corporeal,Human,Pure-blood or half-blood,,,,,master,,,,,[],"['Professor', 'Head of Hufflepuff House', 'Head of Herbology', 'Madam']",,,,,,,,,
Mundungus Fletcher,Male,['Dealer of wizarding artefacts and stolen goods'],Unknown,Non-corporeal,Human,Half-blood,,,,,master,,,,,"['Dung', 'Harry Potter (under disguise of Polyjuice)']",[],,,,,,,,,
Penelope Clearwater,Female,[],Ravenclaw,Non-corporeal,Human,Muggle-born or half-blood (likely),,,,,master,,,,,['Penny (by Percy Weasley)'],['Prefect'],,,,,,,,,
Ginevra Molly Potter (née Weasley),Female,"['Chaser for the Holyhead Harpies (formerly)', 'Senior Quidditch Correspondent for the Daily Prophet (formerly)', 'Sports editor for the Daily Prophet']",Gryffindor,Horse,Human,Pure-blood,,,,,master,,,,,"['Ginny (by family & friends)', 'Gin (by Harry Potter)', 'Skinny Ginny (by Ronald Weasley)']","['Chaser', 'Seeker']",,,,,,,,,
Luna Scamander (née Lovegood),Female,"['Magizoologist', 'Field Studies professor at Hogwarts']",Ravenclaw,Hare,Human,Pure-blood or half-blood,,,,,master,,,,,['Loony Lovegood (by Hogwarts students)'],['Professor'],,,,,,,,,
Draco Lucius Malfoy,Male,[],Slytherin,Unknown,"Human, Ferret (briefly)",Pure-blood,,,,,master,,,,,['The Amazing Bouncing Ferret (by some Hogwarts students after Draco was transfigured into a ferret)'],"['Seeker', 'Prefect']",,,,,,,,,
Constance Pickering,Female,"['Junior Undersecretary (formerly)', 'Leader of the Statute of Secrecy Task Force (formerly)', 'Leader of The Unforgivable']",Hufflepuff,Unicorn,Human,Half-blood,,,,,master,,,,,[],"['Prefect', 'Junior Undersecretary']",,,,,,,,,
Cassandra Vole,Female,[],Slytherin,Mink,Part-human/one-eighth-Veela,Half-breed (one-eighth-Veela),,,,,master,,,,,['Cass (by Winifred Warrington and unidentified Muggle-born Hogwarts student)'],[],,,,,,,,,
Lily J. Potter (née Evans),Female,[],Gryffindor,Doe,Human,Muggle-born,,,,,master,,,,,[],['Head Girl'],,,,,,,,,
Barnaby Abernathy Lee,Male,"['Shop assistant at Honeydukes (formerly)', 'Houndmaster']",Slytherin,Non-corporeal,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Toast Giver'],,,,,,,,,
Abigail Grey,Female,[],Gryffindor,Wolf,Human (werewolf),Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Filius Flitwick,Male,"['Duelling Champion (previously)', 'Charms Master at Hogwarts (pre 1975-?)', 'Head of Ravenclaw House at Hogwarts (pre 1984-?)', 'Conductor of the Frog Choir at Hogwarts (pre 1987-?)']",Ravenclaw,Non-corporeal,Part-human/part-goblin,Half-breed (part-goblin),,,,,master,,,,,[],"['Professor', 'Doctor (possibly)', 'Charms Master', 'Head of Ravenclaw House', 'Duelling Champion (formerly)']",,,,,,,,,
Fred Weasley I,Male,"[""Co-owner of Weasleys' Wizard Wheezes""]",Gryffindor,Magpie,Human,Pure-blood,,,,,master,,,,,"['Rodent (Potterwatch)', 'Rapier (Potterwatch)', 'Forge', 'Harry Potter (under disguise of Polyjuice Potion)', 'Freddie (by Bellatrix Lestrange and George Weasley)']",['Beater'],,,,,,,,,
Garrick Ollivander,Male,['Wandmaker'],Ravenclaw,Non-corporeal,Human,Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Gilderoy Lockhart,Male,"['Author', 'Professor of Defence Against the Dark Arts at Hogwarts (1992-1993)']",Ravenclaw,Non-corporeal,Human,Half-blood,,,,,master,,,,,[],"['Seeker', 'Professor', 'Club president']",,,,,,,,,
Dennis Creevey,Male,Student,Gryffindor,Unknown,Human ,Muggle-born,Dumbledore's Army,, 1 September 1982 - 31 August 1983,,characters,,,,,,,,,,,,,,,
Horace Eugene Flaccus Slughorn,Male,"['Potions Master at Hogwarts School of Witchcraft and Wizardry (c. 1931–1981; 1996–after 2011)', 'Head of Slytherin House at Hogwarts School of Witchcraft and Wizardry (?–1981; 1997–between 2008 and 2011)', 'Owner of the Apothecarium of Horace E. F. Slughorn (?)']",Slytherin,Non-corporeal,Human,Pure-blood (most likely),,,,,master,,,,,['Old Sluggy (by Cormac McLaggen and Hermione Granger)'],"['Professor', 'Potions Master', 'Head of Slytherin', 'Head of the Slug Club']",,,,,,,,,
Justin Finch-Fletchley,Male,[],Hufflepuff,Non-corporeal,Human,Muggle-born,,,,,master,,,,,[],[],,,,,,,,,
Kevin Farrell,Male,[],Gryffindor,Hedgehog,Human,Pure-blood,,,,,master,,,,,['Kev'],[],,,,,,,,,
Rose Granger-Weasley,Female,Student,Gryffindor,Unknown,Human ,Half-blood,,Chaser,1 September 2005-31 August 2006 ,,characters,,,,,,,,,,,,,,,
Aberforth Dumbledore,Male,"[""Owner and Barman of the Hog's Head Inn""]",Gryffindor,Goat,Human,Half-blood,,,,,master,,,,,['Ab'],[],,,,,,,,,
Cornelius Oswald Fudge,Male,Minister for Magic,,Non-corporeal,Human,Pure-blood or Half-blood,Minister of Magic,Turning a blind eye to the continuing threat of Dark Magic in the name of keeping up morale,Pre 1964,,characters,,,,,,,,,,,,,,,
Sturgis Podmore,Male,Advance Guard,,Unknown,Human,Pure-blood or half-blood,Order of the Phoenix,Carrying out guard duty for the Order, 8 September 1956 - 7 September 1957,,characters,,,,,,,,,,,,,,,
Graham Montague,Male,Student,Slytherin,Unknown,Human,Pure-blood or half-blood,,"Quidditch captain, Chaser",In or prior to c.1981,,characters,,,,,,,,,,,,,,,
Newton Scamander,Male,Employee in the Beast Division of the Department for the Regulation and Control of Magical Creatures,Hufflepuff,Unknown,Human,Pure-blood or half-blood,,"Magizoology, Order of Merlin, Second Class",24 February 1897,,characters,,,,,,,,,,,,,,,
Blaise Zabini,Male,Student,Slytherin,Unknown,Human,Pure-blood or half-blood,,Chaser,"1 September, 1979 – 21 April, 1980",,characters,,,,,,,,,,,,,,,
Pansy Parkinson,Female,Student,Slytherin,Unknown,Human,Pure-blood or half-blood,,Prefect, 1 September 1979- 31 August 1980,,characters,,,,,,,,,,,,,,,
Hestia Jones,Female,Advance Guard,,Unknown,Human,Pure-blood or half-blood,Order of the Phoenix,Carrying out escort missions for the Order,Pre 1978,,characters,,,,,,,,,,,,,,,
Regulus Arcturus Black,Male,,Slytherin,Non-corporeal,Human,Pure-blood,,Seeker,1961,1979,characters,,,,,,,,,,,,,,,
Helena Ravenclaw,Female,Ravenclaw House Ghost,Ravenclaw,Unknown,Ghost,Pure-blood or half-blood,,,Post 982,996-1000,characters,,,,,,,,,,,,,,,
Augustus Rookwood,Male,Unspeakable,Slytherin,,Human,Pure-blood or half-blood,Lord Voldemort  | Death Eaters,Spying for Lord Voldemort,pre 1964,,characters,,,,,,,,,,,,,,,
Antonin Dolohov,Male,Death Eater,Slytherin,,Human,Pure-blood or Half-blood,Lord Voldemort  | Death Eaters,Duelling. Fought and killed Molly Weasley's brothers and Remus Lupin,pre 1950,,characters,,,,,,,,,,,,,,,
Myrtle Elizabeth Warren (Moaning Myrtle),Female,Student,Ravenclaw,Unknown,Ghost,Muggle-born,,,14 June 1928 -13 June 1929,"13 June, 1943",characters,,,,,,,,,,,,,,,
Elphias Doge,Male,Special Advisor to the Wizengamot,,Non-corporeal,Human,Pure-blood,Order of the Phoenix,Writing, 1 September 1880 - 31 August 1881,,characters,,,,,,,,,,,,,,,
Corban Yaxley,Male,Head of the Department of Magical Law Enforcement,Slytherin,,Human,Pure-blood or Half-blood,Lord Voldemort  | Death Eaters,"Imperius curse, undercover work",Pre 1970s,,characters,,,,,,,,,,,,,,,
Draco Malfoy,Male,Student,Slytherin,Unknown,Human,Pure-blood,,"Prefect, Seeker","5 June, 1980",,characters,,,,,,,,,,,,,,,
Kingsley Shacklebolt,Male,Auror  | Minister for Magic,,Lynx,Human,Pure-blood,Order of the Phoenix,Exceptionally skilled duellist and Auror,Pre 1973,,characters,,,,,,,,,,,,,,,
Rufus Scrimgeour,Male,Head of Auror Office| Minister for Magic,,Non-corporeal,Human,,Minister of Magic,Highly regarded as a skilled Auror,Pre 1968,"1 August, 1997",characters,,,,,,,,,,,,,,,
Bellatrix Lestrange,Female,,Slytherin,,Human,Pure-blood,Lord Voldemort  | Death Eaters,She is a duellist of great skill and an experienced Occlumens,1951,"2 May, 1998",characters,,,,,,,,,,,,,,,
Gregory Goyle,Male,Student,Slytherin,Unknown,Human,Pure-blood,,Beater,1 September 1979-31 August 1980,,characters,,,,,,,,,,,,,,,
William Arthur Weasley,Male,"['Curse-Breaker for Gringotts Wizarding Bank', 'Author']",Gryffindor,Non-corporeal,Human,Pure-blood,,,,,master,,,,,['Bill'],"['Prefect', 'Head Boy']",,,,,,,,,
Xenophilius Lovegood,Male,['Editor of The Quibbler'],Ravenclaw,Non-corporeal,Human,Pure-blood or half-blood,,,,,master,,,,,['Xeno'],[],,,,,,,,,
Lily J. Potter,Female,,Gryffindor,Doe,Human,Muggle-born,Order of the Phoenix,,"30 January, 1960 ","31 October, 1981",characters,,,,,,,,,,,,,,,
Marcus Flint,Male,Student,Slytherin,Unknown,Human,Pure-blood or half-blood,,"Chaser, Captain", 1 September 1975- 31 August 1976,,characters,,,,,,,,,,,,,,,
Molly Weasley,Female,,Gryffindor,Unknown,Human,Pure-blood,Order of the Phoenix,Household spells| healing magic,"30 October, 1949 ",,characters,,,,,,,,,,,,,,,
Viktor Krum,Male,Seeker for the Bulgarian National Quidditch team,Durmstrang Institute,Unknown,Human ,Pure-blood or half-blood,,One of the best Seekers in the world,"April-August, 1976",,characters,,,,,,,,,,,,,,,
Fat Friar,Male,Hufflepuff House Ghost,Hufflepuff,Unknown,Ghost,,,Curing peasants of the pox,10th century,Pre 1988,characters,,,,,,,,,,,,,,,
Rubeus Hagrid,Male,Keeper of Keys and Grounds | Professor of Care of Magical Creatures ,Gryffindor,,Half-Human/Half-Giant,Part-Human (Half-giant),Albus Dumbledore | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Resistant to stunning spells| above average strength | crossbowmanship,6 December 1928,,characters,,,,,,,,,,,,,,,
Edgar Bones,Male,,Hufflepuff,Unknown,Human,Pure-blood or half-blood,Original Order of the Phoenix,Said to be a great wizard,,1981,characters,,,,,,,,,,,,,,,
Charity Burbage,Female,Professor of Muggle Studies,,Non-corporeal,Human,Pure-blood or half-blood,,Teaching and studying the Muggle world,Before 1976,"Late July, 1997",characters,,,,,,,,,,,,,,,
Eulalie Hicks,Female,"['Charms professor at Ilvermorny School of Witchcraft and Wizardry', 'Author']",Thunderbird,,Human,Pure-blood or half-blood (most likely),,,,,master,,,,,['Lally'],"['Professor', 'Keeper of the Keys']",,,,,,,,,
Harper,Male,[],Slytherin,,Human,Pure-blood (most likely),,,,,master,,,,,[],['Seeker'],,,,,,,,,
Elliot Evers,Male,['Leader of the Nocturnal Order of Tricks and Magical Exhibitions'],Gryffindor,Raven or Crow,Human,,,,,,master,,,,,['Lord Evermore'],[],,,,,,,,,
Zola G. Farrell,Female,['Chaser for the Holyhead Harpies'],Gryffindor,,Human,Pure-blood,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Hector Fawley,Male,['British Minister for Magic (1925-1939)'],Ravenclaw,,Human,Pure-blood,,,,,master,,,,,['Flamboyant Fawley'],['Minister for Magic'],,,,,,,,,
