entity_type,name,alias_names,animagus,blood_status,boggart,gender,house,jobs,patronus,romances,species,titles,weight,entity_id,category,creator,effect,hand,incantation,light,characteristics,difficulty,inventors,ingredients,manufacturers,side_effects,time,title
characters,Ackley Barnes,[],,,,Male,,"['Thief', 'Businessman']",,[],Human,[],,b2db0daa-b54f-40d4-9861-31aba7143f0e,,,,,,,,,,,,,,
characters,A Cocher,[],,,,,,['Author'],,[],Human,[],,c237e03d-8031-45ea-a6f5-0e41f4d89327,,,,,,,,,,,,,,
characters,Acromantula at the Magical Creatures Reserve,[],,,,,,[],,[],Acromantula,[],,cab198ee-70c7-410f-a54c-c8b2ea6b41ee,,,,,,,,,,,,,,
characters,Actor who played Crapaud,[],,,,Male,,['Actor'],,[],Human,[],,c46c0a84-3ff6-4756-9b6e-b0e7adecbe3e,,,,,,,,,,,,,,
characters,Actor who played Grenouille,[],,,,Male,,['Actor'],,[],Human,[],,196f30eb-a366-47c6-abfe-9f9b56401d5c,,,,,,,,,,,,,,
characters,Ada,[],,,,Female,,[],,['Tarek (fiancé)'],Human,[],,ed18600f-8da4-432d-83b2-df10f3f2d801,,,,,,,,,,,,,,
characters,Adalbert Waffling,[],,,,Male,,"['Author', 'Magical Theoretician']",,[],Human,[],,996e2307-e498-460f-b7c1-af87d38cf2ee,,,,,,,,,,,,,,
characters,Adam Arterius,[],,,,Male,,[],,[],Human,[],,1c7caaac-f6c8-4e7f-bdbe-db10d5893a64,,,,,,,,,,,,,,
characters,Adamon Daelae,[],,Pure-blood or half-blood,,Male,,[],,[],Human,[],,391b407a-779a-47cf-92a7-ba3797acc1d6,,,,,,,,,,,,,,
characters,Adam Pickering,[],,,,Male,Gryffindor,[],,[],Human,[],,fcf04658-d66f-4a8b-af69-1216856eca3e,,,,,,,,,,,,,,
characters,Adda,[],,,,Male,,['Caretaker of Eden (formerly)'],,['Eve'],Human,[],,ace701fd-9368-463b-bf38-d3d96659932a,,,,,,,,,,,,,,
characters,Addison Fawley,[],,"Pure-blood, half-blood or Squib (possibly)",,Male,,[],,[],Human,[],,cc39ad05-8e8f-4299-8010-faf1e447741f,,,,,,,,,,,,,,
characters,Adelaide Fairchild,[],,,,Female,Thunderbird,[],,[],Human,[],,71b42bdc-07df-474c-b47c-9ee1c3d7f78d,,,,,,,,,,,,,,
characters,Adelaide Murton,[],,,,Female,Slytherin,[],,[],Human,[],,f1bcca44-4192-4107-b399-46b95f678727,,,,,,,,,,,,,,
characters,Adelaide Oakes,['Addie'],,,,Female,Hufflepuff,[],,[],Human,[],,cbd002af-f912-439b-813a-3f4af3a41687,,,,,,,,,,,,,,
characters,Adelaide Oakes's mother,[],,,,Female,,[],,[],Human,[],,5650b89e-ac95-4849-87b6-6f5d145eb5f6,,,,,,,,,,,,,,
characters,Adelaide Oakes's mother,[],,,,Male,,[],,[],Human,[],,e6de32fe-1e8c-4676-9420-4c84cda83a14,,,,,,,,,,,,,,
characters,Adelaide P. Poppington,[],,,,Female,,['Chief Regulatory Authority'],,[],Human,[],,4ef33c59-616c-4a19-98b1-35a7657955c3,,,,,,,,,,,,,,
characters,Adou Sosseh,[],,,,,,['Captain for the Senegalese National Quidditch team'],,[],Human,['Captain'],,b478a214-090a-4e1d-a560-a8723751df1b,,,,,,,,,,,,,,
characters,Adrian,[],,,,Male,,['Photographer at the Daily Prophet'],,[],Human,[],,a90f0564-af4d-4365-ac89-3902ad3dc749,,,,,,,,,,,,,,
characters,Adrian Pucey,[],,,,Male,Slytherin,[],,[],Human,['Chaser'],,a05d5d46-5194-4693-865a-88846a11483f,,,,,,,,,,,,,,
characters,Adrian Speke,[],,,,Male,Hufflepuff,[],,[],Human,[],,775efa1d-8f7c-49ad-ae7e-92afcc44c74b,,,,,,,,,,,,,,
characters,Adrian Tutley,[],Gerbil,,,Male,,[],,[],Human,[],,29a5c03b-2434-40d9-9afc-c1acc1ba7336,,,,,,,,,,,,,,
characters,Aesop Sharp,[],,,,Male,Slytherin,"['Auror (formerly)', 'Potions Master at Hogwarts School of Witchcraft and Wizardry']",,[],Human,['Professor'],,16a79e28-9c25-42ae-b2ec-309df4534c81,,,,,,,,,,,,,,
characters,Aesop Sharp's partner,[],,,,,,['Auror'],,[],Human,[],,a5b098f8-1000-4705-b0fd-ad9ca1aeea32,,,,,,,,,,,,,,
characters,Affpuddle,['Waving Knight'],,,,Male,,[],,[],Human,['Sir'],,cc841819-3f06-4c12-8e5e-4a61b3ae7774,,,,,,,,,,,,,,
characters,African prince,[],,Muggle,,Male,,[],,[],Human,['Prince'],,8d7d0cd7-49a1-4857-9fd9-f1a870ec106d,,,,,,,,,,,,,,
characters,Agabus Philbert,[],,,,Male,,[],,['Dulcibella Philbert'],Human,[],,bd44f9c3-0a3d-48dd-afa7-f59a08418f29,,,,,,,,,,,,,,
characters,Agatha Chubb,[],,,,Female,,['Ancient Wizarding Artefacts Researcher'],,[],Human,[],,5d543279-5444-493c-8d30-52579d53e9e7,,,,,,,,,,,,,,
characters,Agatha Haggarty,[],,,,Female,,[],,[],Human,[],,f658b052-f6f9-44af-b4d6-45aecde00399,,,,,,,,,,,,,,
characters,Agatha Thrussington,[],,,,Female,Hufflepuff,[],,[],Human,[],,f186b39f-8900-4d4a-9f08-951c18cf0794,,,,,,,,,,,,,,
characters,Agatha Timms,[],,,,Female,,['Eel farmer'],,[],Human,[],,705f42c9-83e9-4334-b6b2-155775bff351,,,,,,,,,,,,,,
characters,Aged Goblin,[],,,,Male,,['Banker at Gringotts Wizarding Bank'],,[],Goblin,[],,307c9cae-562a-4a43-9cf0-77ae9402d517,,,,,,,,,,,,,,
characters,Aged witch,[],,,,Female,,[],,[],Human,[],,47592030-475b-4e21-9ea4-cc5fdacdea78,,,,,,,,,,,,,,
characters,Agilbert Fontaine,[],,,,Male,,['Headmaster of Ilvermorny School of Witchcraft and Wizardry (c. 2016)'],,[],Human,"['Headmaster', 'Professor']",,0f7c773a-cc74-4bf2-ada4-d50f5dc98494,,,,,,,,,,,,,,
characters,A. G. Martini,[],,,,,,['Reporter for The New York Ghost'],,[],Human,[],,a315a85d-6cfd-4fcc-8f6f-40b27ee911de,,,,,,,,,,,,,,
characters,Agnes,[],"Dog (probably, failed)",,,Female,,[],,[],Human,[],,19b92b39-f86f-4c78-846b-7771bf0c9ec4,,,,,,,,,,,,,,
characters,Agnes Coffey,[],,,,Female,,"['Fashion model', 'Garment seller']",,[],Human,[],,807d8c7f-f8f8-4a65-8409-79c0d103d53e,,,,,,,,,,,,,,
characters,Agnes Monkleigh,[],,,,Female,Slytherin,[],,[],Human,[],,2f23ec5b-ec9d-44d1-876e-4e112c07104d,,,,,,,,,,,,,,
characters,Agnes Nutt,[],,,,Female,,[],,[],Human,[],,7d578904-7030-4737-ac3b-2d963118f085,,,,,,,,,,,,,,
characters,Agnes Scribner,[],,,,Female,,['Hogwarts librarian'],,[],Human,['Head Librarian'],,c3f3c89d-b478-4bf5-83cb-c09d262cd7de,,,,,,,,,,,,,,
characters,Agnes's son,[],,,,Male,,[],,[],Human,[],,7e42324e-f79d-4221-b2c6-7854a66a8aeb,,,,,,,,,,,,,,
characters,Agnes the Accursed,[],,,,Female,,['Potioneer'],,[],Human,[],,5a4cf44c-6c6f-4011-af79-26fe62b81ab6,,,,,,,,,,,,,,
characters,Aidan Kiely,[],,,,Male,,['Seeker of the Kenmare Kestrels'],,[],Human,['Seeker'],,f0a18774-2e22-44f7-a057-75ee0b5e8e4f,,,,,,,,,,,,,,
characters,Aidan Lynch,[],,,,Male,,['Seeker for the Irish National Quidditch team'],,[],Human,['Seeker'],,f5d5b9b1-d4c0-4577-97c3-4d482e560a91,,,,,,,,,,,,,,
characters,Aidan Sprottle,[],,,,Male,,[],,['Dorothy Sprottle (wife)'],Human,[],,7b4baba3-3e94-4930-8f9c-5aba5f81fd66,,,,,,,,,,,,,,
characters,Aiden O'Connor,[],,,,Male,Gryffindor,[],,[],Human,[],,e6f39a07-fcbe-4907-a10b-9e3e3e5e4a2b,,,,,,,,,,,,,,
characters,Áillun Wärnach,[],,Pure-blood,,Male,,[],,[],Human,['Quidditch commentator'],,a51b4bb7-ef88-472b-847d-a7a0d04abb71,,,,,,,,,,,,,,
characters,Ailsa Travers,[],,Pure-blood or half-blood,,Female,,['Ashwinder'],,[],Human,[],,192b8688-98da-4730-a13f-7b77bebddfef,,,,,,,,,,,,,,
characters,Aisha,[],,,,Female,,[],,['Mathilda Grimblehawk'],Human,[],,356e5e7a-0685-4b21-9e02-946efa3ce2c7,,,,,,,,,,,,,,
characters,Aisha Masika,[],,,,Female,,[],,[],Human,['Chaser'],,e33414cd-49f4-43fe-a109-baa11a71b813,,,,,,,,,,,,,,
characters,Aisha's mother,[],,,,Female,,[],,[],Human,[],,aa54204f-7c03-4d70-8da6-b18a7b974aa3,,,,,,,,,,,,,,
characters,Aki Sugiyama,[],,,,Female,Hufflepuff,[],,[],Human,[],,b1a146f5-c5cb-4fea-99af-44e2e0512e4e,,,,,,,,,,,,,,
characters,Akshay Khan,[],,,,Male,,['Chaser for the Indian National Quidditch team'],,[],Human,['Chaser'],,06abc6c9-6fa0-4e8b-bcfb-fa39ec183c0b,,,,,,,,,,,,,,
characters,Alain Lacroix,[],,,,Male,,['Beater for the French National Quidditch team'],,[],Human,['Beater'],,71e60432-63ef-492f-a8b3-b14e9aeb5268,,,,,,,,,,,,,,
characters,Alannis,[],,,,Female,Ravenclaw,[],,[],Human,"['Duelling Club Captain', 'Ravenclaw House Champion']",,46c4b6a7-03e4-42a3-9a63-fac7508dc91c,,,,,,,,,,,,,,
characters,Alannis Shepley,[],,,,Female,Ravenclaw,[],,[],Human,[],,4f66c5e0-2538-4441-803b-c024aa1efa2f,,,,,,,,,,,,,,
characters,Alanza Alves,[],,Pure-blood or half-blood,,Female,,[],,[],Human,[],,607b9cf6-2445-42f8-bbd4-863b754c9d29,,,,,,,,,,,,,,
characters,Alanza Alves's cat,[],,,,,,[],,[],Cat,[],,1da7e44c-c00e-4aa7-b172-2305940ae907,,,,,,,,,,,,,,
characters,Alanza Alves's grandmother,[],,,,Female,,[],,[],Human,[],,3e4755fa-7598-47f1-bbd0-e322bc71ab3c,,,,,,,,,,,,,,
characters,Alasdair Maddock,[],,,,Male,,['Chaser for the Montrose Magpies (formerly)'],,[],Human,['Chaser (formerly)'],,767836a3-b1bd-4752-9654-26dd4ad3f7a7,,,,,,,,,,,,,,
characters,Alastair,[],,,,Male,,[],,[],Spider,[],,3c41242b-1d4d-4de2-996e-68053ee80cff,,,,,,,,,,,,,,
characters,Alastor Gumboil,[],,,,Male,,['Hit Wizard'],,[],Human,[],,276567dc-796b-471c-b889-933da403beb4,,,,,,,,,,,,,,
characters,Alastor Moody,['Mad-Eye Moody'],,Pure-blood,Lord Voldemort,Male,Unknown,['Auror (Retired)'],Non-corporeal,[],Human,[],183 lbs,b2a1f0c2-7883-450b-b7eb-fcddba84e197,,,,,,,,,,,,,,
characters,Albanian peasant,[],,Muggle,,,,[],,[],Human,[],,31402d10-f7e4-461a-af41-a7b6bd4aa2dc,,,,,,,,,,,,,,
characters,Alberic Grunnion,[],,,,Male,,['Inventor'],,[],Human,[],,084cb3a5-0f89-4517-9c5a-b02a4ceaee45,,,,,,,,,,,,,,
characters,Albert,[],,,,Male,Hufflepuff,[],,[],Human,[],,ad397acf-ca23-4983-88d6-dd6a89a9818a,,,,,,,,,,,,,,
characters,Albert,[],,No-Maj,,Male,,['Employee at Kowalski Quality Baked Goods'],,[],Human,[],,db66c7dd-a2ce-4bd6-8e5e-a283b7b87740,,,,,,,,,,,,,,
characters,Alberta Toothill,[],,,,Female,,['Professional Duellist'],,[],Human,['Duelling Champion'],,27b11a98-1d13-48ab-b0dc-087c053ccca2,,,,,,,,,,,,,,
characters,Albert Bellchant,[],,Pure-blood or half-blood,,Male,,[],,[],Human,[],,36d8ed0a-6610-4fbd-b28a-a8d3ae75e863,,,,,,,,,,,,,,
characters,Albert Boot,[],,Pure-blood or half-blood,,Male,,['British Minister for Magic (1747–1752)'],,[],Human,['Minister for Magic'],,9282c3e4-5b3b-4871-8b05-b9c3f5a98e8a,,,,,,,,,,,,,,
characters,Albert Einstein,[],,Muggle,,Male,,['Theoretical physicist'],,[],Human,[],,4add2678-1203-47f3-b893-7a61ae81ce72,,,,,,,,,,,,,,
characters,Albert Gibbering Stump,[],,,,Male,,[],,[],Human,[],,5d694492-565e-4d6d-9ae3-4fb3e88058e5,,,,,,,,,,,,,,
characters,Albert Jorkins,[],,,,Male,,[],,[],Human,[],,f44ef5ab-14e6-4612-bf8d-dbb3fc53a498,,,,,,,,,,,,,,
characters,Albert L. McCausland,[],,No-Maj,,Male,,['President of Steen National Bank'],,[],Human,[],,1426d670-2ae4-4271-9e7e-6c6ee917485c,,,,,,,,,,,,,,
characters,Alberto Macellarius,['The Rat'],,,,Male,,['Con artist'],,[],Human,[],,201ebfe0-8851-45c1-b768-ab660f448d57,,,,,,,,,,,,,,
characters,Albert Perschky,[],,,,Male,,['Apparition Examiner'],,[],Human,[],,c5ff0774-a92b-48de-b7e9-ef963786824c,,,,,,,,,,,,,,
characters,Albert Runcorn,[],,Pure-blood or half-blood,,Male,,['British Ministry of Magic official'],Non-corporeal,[],Human,[],,8ef2551e-1e1d-4811-96d2-786e7793b1cb,,,,,,,,,,,,,,
characters,Albert Sallow,[],,Pure-blood or half-blood,,Male,,['Unspeakable'],,[],Human,[],,46ffb0bb-72e9-496f-9621-16b4cee41e7f,,,,,,,,,,,,,,
characters,Albert Tillyman,[],,,,Male,,[],,['Violet Tillyman (formerly)'],Human,[],,ca5c37ac-66ac-4c9a-b7fa-0baf46748f17,,,,,,,,,,,,,,
characters,Albie Weekes,[],,,,Male,,['Broom vendor at Spintwitches Sporting Needs'],,[],Human,[],,aecef2aa-684e-4286-838e-a02c0e1be360,,,,,,,,,,,,,,
characters,Albie Weekes's friend,[],,,,,,['Shop owner'],,[],Human,[],,e22eabd2-cd6b-44d4-845f-5441611e4f79,,,,,,,,,,,,,,
characters,Albino peacock,[],,,,Male,,[],,[],Peacock,[],,b71117cf-b09e-4051-a997-edc0e25394e6,,,,,,,,,,,,,,
characters,Albus Dumbledore's great-great-grandfather's phoenix,[],,,,,,[],,[],Phoenix,[],,7021b543-5705-42f8-a190-f31c187ad409,,,,,,,,,,,,,,
characters,Albus Percival Wulfric Brian Dumbledore,[],,Half-blood,"The corpse of his sister, Ariana",Male,Gryffindor,"['Professor of Defence Against the Dark Arts at Hogwarts (1910s-post 1927)', 'Columnist for Transfiguration Today (1926–?)', 'Professor of Transfiguration at Hogwarts (pre 1942-pre 1971)', 'Head of Transfiguration department (?-pre 1955)', 'Head of Hogwarts (pre 1971–1997)', 'Supreme Mugwump of the International Confederation of Wizards (?–1995)']",Phoenix,['Gellert Grindelwald (ex-lover) †'],Human,"['Prefect', 'Head Boy', 'Professor', 'Head of Transfiguration (formerly)', 'Head of Hogwarts School of Witchcraft and Wizardry', 'Grand Sorcerer', 'Supreme Mugwump (formerly)', 'Chief Warlock']","175 lbs (formerly; 1932), 168 lbs (1997)",e464238a-7693-4c07-bca4-fb8173d786ab,,,,,,,,,,,,,,
characters,Albus Potter's ferret,[],,,,,,[],,[],Ferret,[],,d1b58ae4-5505-4559-817c-2518232d29a7,,,,,,,,,,,,,,
characters,Albus Potter's owl,[],,,,,,[],,[],Owl,[],,e10bd841-1842-4c9a-9076-7f767d0b2ca0,,,,,,,,,,,,,,
characters,Albus Severus Potter,"['Al (by Harry Potter)', 'Slytherin Squib (by Karl Jenkins)', 'Ronald Weasley (under disguise of Polyjuice Potion)']",,Half-blood,,Male,Slytherin,[],,[],Human,[],,6186f6c6-a928-402c-bc41-502f2978b5b7,,,,,,,,,,,,,,
characters,Alderton,[],,Muggle-born or half-blood,,Male,,[],,[],Human,[],,8f8cae65-cee3-4816-9b7a-1a29725334fb,,,,,,,,,,,,,,
characters,Alderton,[],,"Muggle-born (as determined by the Muggle-Born Registration Commission), Half-blood (claimed)",,Male,,[],,[],Human,[],,40a86039-49ec-4216-92c4-6d4e388e6a59,,,,,,,,,,,,,,
characters,Alecto Carrow,[],,Pure-blood or half-blood,,Female,Slytherin,"['Professor of Muggle Studies at Hogwarts (1997—1998)', 'Deputy Headmistress at Hogwarts (1997—1998)']",,[],Human,['Professor'],,30921514-0761-4f8a-a9b0-bbb9fe8a8e57,,,,,,,,,,,,,,
characters,Alec Webb,[],,Muggle,,Male,,['Concert director'],,[],Human,[],,229e52c9-714c-487f-b22e-6326a2966f1a,,,,,,,,,,,,,,
characters,Alejandra Alonso,[],,,,Female,,['Chaser for the Brazilian National Quidditch team'],,[],Human,['Chaser'],,5f896c91-863d-4fed-935d-aa4f164bd69d,,,,,,,,,,,,,,
characters,Alexander Pope,[],,Muggle,,Male,,['Poet'],,[],Human,[],,ccc17d99-49ea-4808-a878-084f7c3c6418,,,,,,,,,,,,,,
characters,Alexander William,[],,,,Male,Gryffindor,[],,[],Human,[],,466759be-e0b5-44d1-bfa9-8ba636f88510,,,,,,,,,,,,,,
characters,Alexandra Ricketts,[],,,,Female,,[],,[],Human,[],,7f264d98-eac6-4c78-a7b6-faa974a965cd,,,,,,,,,,,,,,
characters,Alexandra Rokonski,[],,,,Female,,[],,[],Human,[],,5dee5cf9-bc70-4be6-affb-049d3c1092ed,,,,,,,,,,,,,,
characters,Alexandra's Troll,[],,,,,,[],,[],Troll,[],,4e920a22-bd20-48a6-9ddb-1d80edeeeeb9,,,,,,,,,,,,,,
characters,Alexandra Walker,[],,,,Female,,[],,[],Human,[],,f1e8bb28-f280-4dcf-8e09-250e7b812791,,,,,,,,,,,,,,
characters,Alexei Levski,[],,,,Male,,['Chaser for the Bulgarian National Quidditch team (formerly)'],,[],Human,['Chaser'],,c9be761f-eae3-40b3-8574-fea6ee76185f,,,,,,,,,,,,,,
characters,Alexia Walkin Black,[],,Pure-blood,,Female,Slytherin (possibly),[],,[],Human,[],,e0af3279-5ec0-49e8-a2a2-72b1b9c1a492,,,,,,,,,,,,,,
characters,Alexii Waskingti,[],,Pure-blood or half-blood,,Male,,[],,[],Human,[],,a5e80d8c-21ab-42ed-9bf7-1a370172cddb,,,,,,,,,,,,,,
characters,Alexis Marie,[],,,,Female,Gryffindor,[],,[],Human,[],,8b52918c-7c1a-4e99-99ac-2c3ea814fcac,,,,,,,,,,,,,,
characters,Alex Sykes,[],,,,Male,,[],,[],Human,['Prefect'],,ef64dbc6-277e-4981-92a2-7acda1e7fe91,,,,,,,,,,,,,,
characters,Alex Sykes,[],,,,Male,Slytherin,[],,[],Human,[],,c6a251ba-baa7-464d-8589-97ecc8f291f3,,,,,,,,,,,,,,
characters,Alex Wednesbury,[],,,,Male,Gryffindor,[],,[],Human,[],,86be7b95-b1f2-41d6-8588-64d4bb49a7a3,,,,,,,,,,,,,,
characters,Alfred,[],,,,Male,,[],,[],Niffler,[],,22682df0-d44e-4d58-b15c-e04eb3690301,,,,,,,,,,,,,,
characters,Alfred Cattermole,[],,Half-blood or Squib,,Male,,[],,[],Human,[],,858c47af-5ec2-414a-9052-1ea013bef2df,,,,,,,,,,,,,,
characters,Alfred Lawley,[],,,,Male,,['Herbologist'],,[],Human,[],,d4071f48-ba33-4a49-81a2-d3f652ab74e7,,,,,,,,,,,,,,
characters,Alfred Nettle,[],,,,Male,,['Shopkeeper of the Apothecary'],,[],Human,[],,4dbb78e6-6581-4089-a36c-33a32e8c885b,,,,,,,,,,,,,,
characters,Algie Longbottom,[],,Pure-blood,,Male,,[],,['Enid Longbottom (wife)'],Human,[],,114b54d2-cf33-40db-8ee3-00b243364af4,,,,,,,,,,,,,,
characters,Alguff the Awful,[],,,,Male,,['Commercialist'],,[],Goblin,[],,29fe05d5-9715-46a8-9afa-9abcee5b337b,,,,,,,,,,,,,,
characters,Ali Bashir,[],,,,Male,,['Saleswizard'],,[],Human,[],,12cf5ce5-4767-4923-b7ea-35b7a256c8ca,,,,,,,,,,,,,,
characters,Alice,[],,,,Female,,"['Fickle Fabrics employee', 'Gladrags Wizardwear employee (temporarily)']",,[],Human,[],,721d2423-9212-4b86-b5da-73218233fe67,,,,,,,,,,,,,,
characters,Alice,[],,,,Female,,[],,[],Human,[],,e73ba24b-f44b-4b1b-ae35-dc6e3d2d6a4e,,,,,,,,,,,,,,
characters,Alice Fitzwarren,[],,Muggle,,Female,,[],,['Dick Whittington'],Human,[],,dd0642fd-760e-43e2-a18e-2b4f33401c0f,,,,,,,,,,,,,,
characters,Alice Longbottom,[],,Pure-blood,,Female,,['Auror (?-1981)'],,['Frank Longbottom (husband)'],Human,[],,21053b54-f8df-41c8-8798-400f46243deb,,,,,,,,,,,,,,
characters,Alice Tolipan,[],,,,Female,"Gryffindor, Hufflepuff, or Ravenclaw",[],,[],Human,[],,0e8971b8-1ea1-460f-aac6-366de372888a,,,,,,,,,,,,,,
characters,Alice Tolipan,[],,Muggle,,Female,,['Musician'],,[],Human,[],,d35ad21a-57a7-4e1e-ad48-5c858e7b2e33,,,,,,,,,,,,,,
characters,Alicia Spinnet,[],,Pure-blood or half-blood (likely) (possibly),Lord Voldemort,Female,Gryffindor,[],,[],Human,['Chaser'],,86be2e6e-c161-48d1-85b1-d49223e07ff0,,,,,,,,,,,,,,
characters,Aliko Okoye,[],,,,Female,,['Beater for the Nigerian National Quidditch team'],,[],Human,['Beater'],,64db6123-1163-4a81-b26a-1facfed012bb,,,,,,,,,,,,,,
characters,Alison Denbright,[],,,,Female,,[],,[],Human,[],,e53ad396-53de-4905-bc0e-374a3114f1e0,,,,,,,,,,,,,,
characters,Alison Denshaw,[],,,,Female,Gryffindor,[],,[],Human,[],,ab70d2bc-eaea-432b-82db-4a100b94b1cd,,,,,,,,,,,,,,
characters,Alistair Ballcocke,[],,,,Male,,[],,[],Human,[],,fb316170-d849-48bd-be7c-5531c3f8e361,,,,,,,,,,,,,,
characters,Alistair Darling,[],,,,Male,,['Chancellor of the Exchequer'],,[],Human,[],,3803f3a2-eb1c-4b4b-bc42-ec470410b95f,,,,,,,,,,,,,,
