entity_type,name,slug,alias_names,animagus,blood_status,boggart,born,died,eye_color,family_members,gender,hair_color,height,house,image,jobs,marital_status,nationality,patronus,romances,skin_color,species,titles,wands,weight,wiki,entity_id,category,creator,effect,hand,incantation,light,characteristics,difficulty,inventors,ingredients,manufacturers,side_effects,time,author,cover,dedication,pages,release_date,summary,title
characters,A. Béliveau,a-beliveau,[],,,,Before the 1920s,,,[],Female,,,,,['Perfumier'],,French,,[],,Human,['Mademoiselle'],[],,https://harrypotter.fandom.com/wiki/A._Béliveau,1fc5758c-f472-4ab0-8666-a5ec8f378b41,,,,,,,,,,,,,,,,,,,,
characters,Abel Treetops,abel-treetops,[],,,,Before 1832,,,[],Male,,,,,['Con artist'],,American,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Abel_Treetops,d5752a00-05ed-4087-ac6e-e76e3e23ac92,,,,,,,,,,,,,,,,,,,,
characters,Aberforth Dumbledore,aberforth-dumbledore,['Ab'],,Half-blood,,"Between 1 September 1883 and 31 August 1884, Mould-on-the-Wold, England, Great Britain (presumably)",,Bright blue,"['Percival Dumbledore (father) †', 'Kendra Dumbledore (mother) †', 'Albus Dumbledore (older brother) †', 'Ariana Dumbledore (youngest sister) †', 'Aurelius Dumbledore (biological son)', 'Honoria (aunt)', 'Dumbledore family']",Male,Grey,,Gryffindor,https://static.wikia.nocookie.net/harrypotter/images/4/40/Aberforth_Dumbledore.jpg,"[""Owner and Barman of the Hog's Head Inn""]",,English,Goat,['Ex-lover'],,Human,[],"['Unknown length, wood and core']",,https://harrypotter.fandom.com/wiki/Aberforth_Dumbledore,9392dd48-124c-4075-bea5-4ef60a6e5816,,,,,,,,,,,,,,,,,,,,
characters,Abernathy,abernathy,[],,,,Before 1909 (likely),,,[],Male,,,,https://static.wikia.nocookie.net/harrypotter/images/a/a6/Abernathy_COG.png,['Supervisor for the Wand Permit Office (formerly)'],,American,,[],,Human,[],"['Unknown length, wood and core (formerly)']",,https://harrypotter.fandom.com/wiki/Abernathy,3efd176e-e7a9-48a7-b38d-0e49e63976c2,,,,,,,,,,,,,,,,,,,,
characters,Abigail Grey,abigail-grey,[],,Half-blood,,Between 1 September 1996 and 31 August 1997,,Blue,"['Gerard Grey (father)', 'Diana Grey (mother)', 'Siblings', 'Grey family']",Female,Red,,Gryffindor,https://static.wikia.nocookie.net/harrypotter/images/a/af/Abigail_Grey_MA.jpeg,[],,British or Irish,Wolf,[],White,Human (werewolf),[],"[""11¼', Cypress, unicorn hair""]",,https://harrypotter.fandom.com/wiki/Abigail_Grey,f321d503-2e13-488c-b409-a080483acfab,,,,,,,,,,,,,,,,,,,,
characters,Abigail Nicola,abigail-nicola,[],,,,,,,[],Female,,,Gryffindor,,[],,British or Irish,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Abigail_Nicola,4a5f862c-1d15-48fe-ab29-98321a20e75f,,,,,,,,,,,,,,,,,,,,
characters,Abigail Pugh,abigail-pugh,[],,,,31 August 1982 or earlier,,Brown,[],Female,Black,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/2/2f/Abigail_Pugh.png,[],,British or Irish,,[],Light,Human,[],[],,https://harrypotter.fandom.com/wiki/Abigail_Pugh,0865f780-f2f5-4469-a73f-1e53ab0653d0,,,,,,,,,,,,,,,,,,,,
characters,Abigail R. Cankus,abigail-r-cankus,[],,,,,,,[],Female,,,,,['Author'],,American,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Abigail_R._Cankus,3ff25cf7-7e55-4b30-89dd-0eab2bc4adfb,,,,,,,,,,,,,,,,,,,,
characters,Able Fleming,able-fleming,[],,,,"Before 1776, United States of America",,,[],Male,,,,,['President of the Magical Congress of the United States of America (c. 1770s-?)'],,American,,[],,Human,['President'],[],,https://harrypotter.fandom.com/wiki/Able_Fleming,6b10fc0b-ef75-4375-9c16-2adc63b9d358,,,,,,,,,,,,,,,,,,,,
characters,Able Spudmore,able-spudmore,[],,,,In or before 1923,,,"['Randolph Spudmore (son)', 'Spudmore family']",Male,,,,,['Broom-maker'],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Able_Spudmore,c61565a7-df98-4bec-8d09-2679e1bb76a3,,,,,,,,,,,,,,,,,,,,
characters,Abraham,abraham,[],,,,,,,['Isaac (son)'],Male,,,,https://static.wikia.nocookie.net/harrypotter/images/b/b4/ScreamingFaceBook.jpg,[],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Abraham,596c3191-531e-41e8-8bb6-52ccadf8ffe4,,,,,,,,,,,,,,,,,,,,
characters,Abraham Grimblehawk,abraham-grimblehawk,[],,Half-blood,,,,,"['Mathilda Grimblehawk (niece)', 'Grimblehawk family']",Male,,,Hufflepuff,,[],,British or Irish,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Abraham_Grimblehawk,548b892c-612e-4bf5-b433-1d3741672767,,,,,,,,,,,,,,,,,,,,
characters,Abraham Leslie McCracken,abraham-leslie-mccracken,[],,,,16th century,,Black,[],Male,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/f/fc/Abraham_Leslie_McCracken.png,['Captain'],,,,[],Pale,Human,[],[],,https://harrypotter.fandom.com/wiki/Abraham_Leslie_McCracken,c40219f6-96a5-4bf9-8433-fb35898b41ea,,,,,,,,,,,,,,,,,,,,
characters,Abraham Peasegood,abraham-peasegood,[],,,,c. 18th century,,,"['Arnold Peasegood (possibly)', 'Peasegood family']",Male,,,,,[],,,,[],,Human,[],"['Unknown length, wood and core']",,https://harrypotter.fandom.com/wiki/Abraham_Peasegood,58ff6b29-1087-478a-bef7-77ae0229e91a,,,,,,,,,,,,,,,,,,,,
characters,Abraham Potter,abraham-potter,[],,Pure-blood or half-blood,,In or before 1676,After 1693 (before reaching 'old age'),,"['Linfred of Stinchcombe (ancestor) †', 'Hardwin Potter (ancestor or distant relative) †', 'Ancestor/s or distant relatives †', 'Iolanthe Peverell (ancestor or distant relative) †', 'Ignotus Peverell (possible ancestor) †', 'Possible ancestor †', 'Charlus Potter (possible relative) †', 'Dorea Potter (née Black) (possible relative) †', 'Possible relative †', 'Potter family']",Male,,,,https://static.wikia.nocookie.net/harrypotter/images/1/10/AbrahamPotter.png,['Auror'],,American,,[],,Human,[],"['Unknown length, wood and core']",,https://harrypotter.fandom.com/wiki/Abraham_Potter,0199e090-86a9-4c29-a77e-a817c53fbc16,,,,,,,,,,,,,,,,,,,,
characters,Abraham Ronen,abraham-ronen,[],,Pure-blood or half-blood,,Before 1866 (likely),,Brown,"['Father', 'M. Ronen (wife)', 'Ronen family']",Male,Grey,6'1',Slytherin,https://static.wikia.nocookie.net/harrypotter/images/e/ee/Abraham_Ronen.png,"['Charms Master at Hogwarts School of Witchcraft and Wizardry', 'Head of Slytherin House at Hogwarts School of Witchcraft and Wizardry']",Married,British or Irish,,[],Light,Human,"['Professor', 'Charms Master', 'Head of Slytherin House']","['Unknown length, wood and core']",,https://harrypotter.fandom.com/wiki/Abraham_Ronen,9aa1c62d-b8a1-435b-b179-e1ef20b3d679,,,,,,,,,,,,,,,,,,,,
characters,Abraham Ronen's father,abraham-ronen-s-father,[],,,,Before 1848,,,"['Abraham Ronen (son)', 'M. Ronen (daughter-in-law)', 'Ronen family']",Male,,,,,[],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Abraham_Ronen's_father,eedea668-77d2-414b-a399-e8023fde9fd7,,,,,,,,,,,,,,,,,,,,
characters,Abraxan at the Magical Creatures Reserve,abraxan-at-the-magical-creatures-reserve,[],,,,,,Black,[],,White,,,https://static.wikia.nocookie.net/harrypotter/images/9/93/AbraxanAtTheMagicalCreaturesReserve.jpg,[],,,,[],Palomino,Abraxan,[],[],,https://harrypotter.fandom.com/wiki/Abraxan_at_the_Magical_Creatures_Reserve,e0a7173c-77bd-4a9e-b60f-5eda4998033f,,,,,,,,,,,,,,,,,,,,
characters,Abraxas Malfoy,abraxas-malfoy,[],,Pure-blood,,Before 1953,Between 1968 and 2 September 1996,,"['Lucius Malfoy (son)', 'Narcissa Malfoy (née Black) (daughter-in-law)', 'Draco Malfoy (grandson)', 'Armand Malfoy (paternal ancestor) †', 'Nicholas Malfoy (paternal ancestor) †', 'Lucius Malfoy I (paternal ancestor) †', 'Brutus Malfoy (paternal ancestor) †', 'Septimus Malfoy (paternal ancestor) †', 'Malfoy family']",Male,,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/0/01/AbraxasMalfoy.png,[],,British or Irish,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Abraxas_Malfoy,89ddb913-4055-433a-ba64-2b10be424d47,,,,,,,,,,,,,,,,,,,,
characters,Aceline Faure,aceline-faure,[],,,,,,,[],,,,,,[],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Aceline_Faure,01892d87-11d8-4f94-85e5-93d5f4737fa1,,,,,,,,,,,,,,,,,,,,
characters,A. Chanter,a-chanter,[],,,,Before the 1920s,,,[],,,,,,['Reporter for Le Cri de la Gargouille'],,French,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/A._Chanter,e0ff548d-1817-4677-8930-e0a69017ebe6,,,,,,,,,,,,,,,,,,,,
characters,Achilles Tolliver,achilles-tolliver,[],,,,1910 or earlier,,,[],Male,,,,,['Auror'],,American,,['Porpentina Goldstein (dated)'],,Human,[],[],,https://harrypotter.fandom.com/wiki/Achilles_Tolliver,7cc950c6-0650-4745-8bb0-9ac5331979e4,,,,,,,,,,,,,,,,,,,,
characters,Ackley Barnes,ackley-barnes,[],,,,,,Brown,[],Male,Black,,,https://static.wikia.nocookie.net/harrypotter/images/b/bb/HL_-_Ackley_Barnes.png,"['Thief', 'Businessman']",,British or Irish,,[],Light,Human,[],[],,https://harrypotter.fandom.com/wiki/Ackley_Barnes,b2db0daa-b54f-40d4-9861-31aba7143f0e,,,,,,,,,,,,,,,,,,,,
characters,A Cocher,a-cocher,[],,,,Before the 1920s,,,[],,,,,,['Author'],,French,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/A_Cocher,c237e03d-8031-45ea-a6f5-0e41f4d89327,,,,,,,,,,,,,,,,,,,,
characters,Acromantula at the Magical Creatures Reserve,acromantula-at-the-magical-creatures-reserve,[],,,,,,Black,[],,Jet-black,,,https://static.wikia.nocookie.net/harrypotter/images/c/c0/Acromantula_at_the_Magical_Creatures_Reserve.png,[],,,,[],,Acromantula,[],[],,https://harrypotter.fandom.com/wiki/Acromantula_at_the_Magical_Creatures_Reserve,cab198ee-70c7-410f-a54c-c8b2ea6b41ee,,,,,,,,,,,,,,,,,,,,
characters,Actor who played Crapaud,actor-who-played-crapaud,[],,,,,,,[],Male,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/b/be/Crapaud.png,['Actor'],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Actor_who_played_Crapaud,c46c0a84-3ff6-4756-9b6e-b0e7adecbe3e,,,,,,,,,,,,,,,,,,,,
characters,Actor who played Grenouille,actor-who-played-grenouille,[],,,,,,,[],Male,Red,,,https://static.wikia.nocookie.net/harrypotter/images/2/24/Grenouille.png,['Actor'],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Actor_who_played_Grenouille,196f30eb-a366-47c6-abfe-9f9b56401d5c,,,,,,,,,,,,,,,,,,,,
characters,Ada,ada,[],,,,,,,"['Tarek (fiancé)', 'Unborn child']",Female,,,,,[],Engaged (as of February 1890),Scottish,,['Tarek (fiancé)'],,Human,[],[],,https://harrypotter.fandom.com/wiki/Ada,ed18600f-8da4-432d-83b2-df10f3f2d801,,,,,,,,,,,,,,,,,,,,
characters,Adalbert Waffling,adalbert-waffling,[],,,,,1981,,[],Male,,,,https://static.wikia.nocookie.net/harrypotter/images/5/5b/Adalbert_Waffling_HM.png,"['Author', 'Magical Theoretician']",,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Adalbert_Waffling,996e2307-e498-460f-b7c1-af87d38cf2ee,,,,,,,,,,,,,,,,,,,,
characters,Adam Arterius,adam-arterius,[],,,,Between 1 September 1990 and 31 August 1997,,Brown,[],Male,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/6/62/Adam_Arterius_MA.jpg,[],,British or Irish,,[],Light,Human,[],[],,https://harrypotter.fandom.com/wiki/Adam_Arterius,1c7caaac-f6c8-4e7f-bdbe-db10d5893a64,,,,,,,,,,,,,,,,,,,,
characters,Adamon Daelae,adamon-daelae,[],,Pure-blood or half-blood,,,,,[],Male,,,,,[],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Adamon_Daelae,391b407a-779a-47cf-92a7-ba3797acc1d6,,,,,,,,,,,,,,,,,,,,
characters,Adam Pickering,adam-pickering,[],,,,31 August 1982 or earlier,,,[],Male,,,Gryffindor,https://static.wikia.nocookie.net/harrypotter/images/4/4a/Adam_Pickering.png,[],,British or Irish,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Adam_Pickering,fcf04658-d66f-4a8b-af69-1216856eca3e,,,,,,,,,,,,,,,,,,,,
characters,Adda,adda,[],,,,,,,"['Eve (wife)', 'Cain (son)', 'Abel (son)', 'Seth (son)']",Male,,,,,['Caretaker of Eden (formerly)'],Married,,,['Eve'],,Human,[],[],,https://harrypotter.fandom.com/wiki/Adda,ace701fd-9368-463b-bf38-d3d96659932a,,,,,,,,,,,,,,,,,,,,
characters,Addison Fawley,addison-fawley,[],,"Pure-blood, half-blood or Squib (possibly)",,Between 2006 and 2015,,,"['Grim Fawley (father)', 'Penelope Fawley (mother)', 'Melody Fawley (twin sister)', 'Lucretia Fawley (paternal grandmother) †', 'Marshall Fawley (paternal grandfather) †', 'Maternal grandfather', 'Maternal grandmother', 'Fawley family']",Male,,,,,[],,British,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Addison_Fawley,cc39ad05-8e8f-4299-8010-faf1e447741f,,,,,,,,,,,,,,,,,,,,
characters,Adelaide Fairchild,adelaide-fairchild,[],,,,1911 or 1912,,,[],Female,,,Thunderbird,https://static.wikia.nocookie.net/harrypotter/images/f/f5/Adelaide_Fairchild.PNG,[],,,,[],,Human,[],"['Unknown length, wood and core']",,https://harrypotter.fandom.com/wiki/Adelaide_Fairchild,71b42bdc-07df-474c-b47c-9ee1c3d7f78d,,,,,,,,,,,,,,,,,,,,
characters,Adelaide Murton,adelaide-murton,[],,,,31 August 1982 or earlier,,Brown,[],Female,Black,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/a/a0/Adelaide_Murton.png,[],,British or Irish,,[],Light,Human,[],[],,https://harrypotter.fandom.com/wiki/Adelaide_Murton,f1bcca44-4192-4107-b399-46b95f678727,,,,,,,,,,,,,,,,,,,,
characters,Adelaide Oakes,adelaide-oakes,['Addie'],,,,Between 1 September 1874 and 31 August 1875,,,"['Father †', 'Mother †', 'Rowland Oakes (uncle)', 'Oakes family']",Female,Light brown,,Hufflepuff,https://static.wikia.nocookie.net/harrypotter/images/b/ba/Adelaide_Oakes_-_HL.png,[],,British or Irish,,[],Light,Human,[],[],,https://harrypotter.fandom.com/wiki/Adelaide_Oakes,cbd002af-f912-439b-813a-3f4af3a41687,,,,,,,,,,,,,,,,,,,,
characters,Adelaide Oakes's mother,adelaide-oakes-s-mother,[],,,,,Between 1 September 1874 and 31 August 1875,,"['Partner †', 'Adelaide Oakes (daughter)', 'Rowland Oakes (brother-in-law)', 'Oakes family']",Female,,,,,[],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Adelaide_Oakes's_mother,5650b89e-ac95-4849-87b6-6f5d145eb5f6,,,,,,,,,,,,,,,,,,,,
characters,Adelaide Oakes's mother,adelaide-oakes-s-father,[],,,,,Between 1 September 1879 and 30 August 1881,,"['Partner †', 'Adelaide Oakes (daughter)', 'Rowland Oakes (brother)', 'Oakes family']",Male,,,,,[],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Adelaide_Oakes's_father,e6de32fe-1e8c-4676-9420-4c84cda83a14,,,,,,,,,,,,,,,,,,,,
characters,Adelaide P. Poppington,adelaide-p-poppington,[],,,,Before the 1980s,,,[],Female,,,,,['Chief Regulatory Authority'],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Adelaide_P._Poppington,4ef33c59-616c-4a19-98b1-35a7657955c3,,,,,,,,,,,,,,,,,,,,
characters,Adou Sosseh,adou-sosseh,[],,,,,,,[],,,,,,['Captain for the Senegalese National Quidditch team'],,Senegalese,,[],,Human,['Captain'],[],,https://harrypotter.fandom.com/wiki/Adou_Sosseh,b478a214-090a-4e1d-a560-a8723751df1b,,,,,,,,,,,,,,,,,,,,
characters,Adrian,adrian,[],,,,Between 1 September 1959 and 31 August 1960,,,[],Male,,,,https://static.wikia.nocookie.net/harrypotter/images/5/56/Adrian_1.jpg,['Photographer at the Daily Prophet'],,British or Irish,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Adrian,a90f0564-af4d-4365-ac89-3902ad3dc749,,,,,,,,,,,,,,,,,,,,
characters,Adrian Pucey,adrian-pucey,[],,,,Between 1 September 1977 and 31 August 1979 (likely),,,[],Male,,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/0/02/Adrian_Pucey_COSF.png,[],,British or Irish,,[],,Human,['Chaser'],[],,https://harrypotter.fandom.com/wiki/Adrian_Pucey,a05d5d46-5194-4693-865a-88846a11483f,,,,,,,,,,,,,,,,,,,,
characters,Adrian Speke,adrian-speke,[],,,,on or prior to 31 August 1982,,,[],Male,,,Hufflepuff,,[],,British or Irish,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Adrian_Speke,775efa1d-8f7c-49ad-ae7e-92afcc44c74b,,,,,,,,,,,,,,,,,,,,
characters,Adrian Tutley,adrian-tutley,[],Gerbil,,,,,,[],Male,,,,,[],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Adrian_Tutley,29a5c03b-2434-40d9-9afc-c1acc1ba7336,,,,,,,,,,,,,,,,,,,,
characters,Aesop Sharp,aesop-sharp,[],,,,In or before 1858,,Brown,"['Kitty Sharp (possibly)', 'Scarlet Sharp (possibly)', 'Sharp family']",Male,Dark brown,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/2/28/Aesop_Sharp.png,"['Auror (formerly)', 'Potions Master at Hogwarts School of Witchcraft and Wizardry']",,British or Irish,,[],Light,Human,['Professor'],"['Unknown length, wood, and core']",,https://harrypotter.fandom.com/wiki/Aesop_Sharp,16a79e28-9c25-42ae-b2ec-309df4534c81,,,,,,,,,,,,,,,,,,,,
characters,Aesop Sharp's partner,aesop-sharp-s-partner,[],,,,,Before 1890,,[],,,,,,['Auror'],,British,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Aesop_Sharp's_partner,a5b098f8-1000-4705-b0fd-ad9ca1aeea32,,,,,,,,,,,,,,,,,,,,
characters,Affpuddle,affpuddle-of-the-cheerful-countenance,['Waving Knight'],,,,,Before 1890,,[],Male,,,,https://static.wikia.nocookie.net/harrypotter/images/4/42/Affpuddle_HL.png,[],,British,,[],,Human,['Sir'],[],,https://harrypotter.fandom.com/wiki/Affpuddle_of_the_Cheerful_Countenance,cc841819-3f06-4c12-8e5e-4a61b3ae7774,,,,,,,,,,,,,,,,,,,,
characters,African prince,african-prince,[],,Muggle,,,,,[],Male,,,,,[],,,,[],,Human,['Prince'],[],,https://harrypotter.fandom.com/wiki/African_prince,8d7d0cd7-49a1-4857-9fd9-f1a870ec106d,,,,,,,,,,,,,,,,,,,,
characters,Agabus Philbert,agabus-philbert,[],,,,,,Brown,['Dulcibella Philbert (wife) †'],Male,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/5/5f/Agabus_Philbert_HL.png,[],Widowed,Scottish,,['Dulcibella Philbert'],Light,Human,[],[],,https://harrypotter.fandom.com/wiki/Agabus_Philbert,bd44f9c3-0a3d-48dd-afa7-f59a08418f29,,,,,,,,,,,,,,,,,,,,
characters,Agatha Chubb,agatha-chubb,[],,,,,,,[],Female,,,,,['Ancient Wizarding Artefacts Researcher'],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Agatha_Chubb,5d543279-5444-493c-8d30-52579d53e9e7,,,,,,,,,,,,,,,,,,,,
characters,Agatha Haggarty,agatha-haggarty,[],,,,Before or in the 17th century,,,"['Pádraic Haggarty (descendant)', 'Catrin Haggarty (descendant)', 'Haggarty family']",Female,,,,,[],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Agatha_Haggarty,f658b052-f6f9-44af-b4d6-45aecde00399,,,,,,,,,,,,,,,,,,,,
characters,Agatha Thrussington,agatha-thrussington,[],,,,31 August 1982 or earlier,,,[],Female,,,Hufflepuff,,[],,British or Irish,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Agatha_Thrussington,f186b39f-8900-4d4a-9f08-951c18cf0794,,,,,,,,,,,,,,,,,,,,
characters,Agatha Timms,agatha-timms,[],,,,,,,[],Female,,,,,['Eel farmer'],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Agatha_Timms,705f42c9-83e9-4334-b6b2-155775bff351,,,,,,,,,,,,,,,,,,,,
characters,Aged Goblin,aged-goblin,[],,,,Before 1997,,Black,[],Male,,,,https://static.wikia.nocookie.net/harrypotter/images/e/ec/Aged_Goblin.PNG,['Banker at Gringotts Wizarding Bank'],,British,,[],White,Goblin,[],[],,https://harrypotter.fandom.com/wiki/Aged_Goblin,307c9cae-562a-4a43-9cf0-77ae9402d517,,,,,,,,,,,,,,,,,,,,
characters,Aged witch,aged-witch,[],,,,,,,[],Female,,,,https://static.wikia.nocookie.net/harrypotter/images/2/2d/Aged_witch.gif,[],,British,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Aged_witch,47592030-475b-4e21-9ea4-cc5fdacdea78,,,,,,,,,,,,,,,,,,,,
characters,Agilbert Fontaine,agilbert-fontaine,[],,,,,,,"['Theodard Fontaine (ancestor)', 'Fontaine family']",Male,,,,,['Headmaster of Ilvermorny School of Witchcraft and Wizardry (c. 2016)'],,American,,[],,Human,"['Headmaster', 'Professor']",[],,https://harrypotter.fandom.com/wiki/Agilbert_Fontaine,0f7c773a-cc74-4bf2-ada4-d50f5dc98494,,,,,,,,,,,,,,,,,,,,
characters,A. G. Martini,a-g-martini,[],,,,,,,[],,,,,,['Reporter for The New York Ghost'],,American,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/A._G._Martini,a315a85d-6cfd-4fcc-8f6f-40b27ee911de,,,,,,,,,,,,,,,,,,,,
characters,Agnes,agnes-st-mungo-s,[],"Dog (probably, failed)",,,,,,['Son'],Female,,,,https://static.wikia.nocookie.net/harrypotter/images/1/18/B5C23M1_Agnes.png,[],,British,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Agnes_(St_Mungo's),19b92b39-f86f-4c78-846b-7771bf0c9ec4,,,,,,,,,,,,,,,,,,,,
characters,Agnes Coffey,agnes-coffey,[],,,,,,Brown,[],Female,Light brown,,,https://static.wikia.nocookie.net/harrypotter/images/4/45/Agnes_Coffey_HL.png,"['Fashion model', 'Garment seller']",Unmarried,British or Irish,,[],Light,Human,[],[],,https://harrypotter.fandom.com/wiki/Agnes_Coffey,807d8c7f-f8f8-4a65-8409-79c0d103d53e,,,,,,,,,,,,,,,,,,,,
characters,Agnes Monkleigh,agnes-monkleigh,[],,,,31 August 1982 or earlier,,,[],Female,Red,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/0/09/Agnes_Monkleigh.jpg,[],,British or Irish,,[],White,Human,[],[],,https://harrypotter.fandom.com/wiki/Agnes_Monkleigh,2f23ec5b-ec9d-44d1-876e-4e112c07104d,,,,,,,,,,,,,,,,,,,,
