name,gender,job,house,wand,patronus,species,blood_status,hair_colour,eye_colour,loyalty,skills,birth,death,known_ingredients,effect,characteristics,difficulty_level,incantation,type,light,slug,alias_names,animagus,boggart,born,died,eye_color,family_members,hair_color,height,jobs,marital_status,nationality,romances,skin_color,titles,wands,weight,category,creator,hand,difficulty,inventors,ingredients,manufacturers,side_effects,time
(Bill) William Arthur Weasley,Male,Curse-Breaker for Gringotts Bank,Gryffindor,Unknown,Unknown,Human (Werewolf traits),Pure-blood,Red,Blue,Order of the Phoenix,Highly skilled curse-breaker for Gringotts Wizarding Bank| very intelligent| past Hogwarts Head Boy,"29 November, 1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Weasley,Male,Dragonologist,Gryffindor,"12""  Ash unicorn tail hair",Unknown,Human,Pure-blood,Red,Grey,Order of the Phoenix | Gringotts Wizarding Bank,Highly skilled dragon trainer| one-time Gryffindor Seeker,"12 December, 1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Jordan,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Black,Brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Quidditch commentary | broadcasting,1 September 1977- 31 August 1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Wood,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or Half-blood,,,Hogwarts School of Witchcraft and Wizardry,Keeper|  Captain of the Gryffindor Quidditch team,October 1975 - 31 August 1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelina Johnson,Female,Student,Gryffindor,Unknown,Unknown,Human,Unknown,Brown,Brown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser,"24 – 30 October, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katie Bell,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Brown,Brown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser,1 September 1978- 31 August 1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicia Spinnet,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Brown,Brown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser,1 September 1977- 31 August 1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender Brown,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Blond,Blue,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Divination,1 September 1979- 31 August 1980,"2 May, 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parvati Patil,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Dark,Dark,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Divination,1 September 1979- 21 April 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romilda Vane,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Black,Dark,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Spiking Chocolate Cauldrons with love potion,1 September 1981- 31 August 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Creevey,Male,Student,Gryffindor,Unknown,Unknown,Human,Muggle-born,Mousy,,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Photography,3 May - 31 August 1981,"2 May, 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cormac McLaggen,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Blond,,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Quidditch Keeper,1 September 1978- 31 August 1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minerva McGonagall,Female,Professor of Transfiguration | Head of Gryffindor,Gryffindor,"9½"" Fir dragon heartstring",Cat,Human,Half-blood,Black,Green,Albus Dumbledore | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Animagus,4 October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molly Weasley,Female,,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Bright brown,Order of the Phoenix,Household spells| healing magic,"30 October, 1949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Weasley,Male,Head of the Misuse of Muggle Artefacts Office,Gryffindor,Unknown,Weasel,Human,Pure-blood,Red,Green,Order of the Phoenix| British Ministry of Magic,Muggle world works,"6 February, 1950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quirinus Quirrell,Male,Defence Against the Dark Arts(1991-1992),Ravenclaw,"9"" Alder unicorn hair bendy",Non-corporeal,Human,Half-blood,,,Lord Voldemort,Learned in the theory of Defensive Magic| less adept in the practise,"26 September,1970 or earlier",4 June 1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cho Chang,Female,Student,Ravenclaw,Unknown,Swan,Human,Pure-blood or half-blood,Black,Dark,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Seeker,1 September 1978-31 August 1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luna Lovegood,Female,Student,Ravenclaw,Unknown,Hare,Human,Pure-blood or half-blood,Dirty-blonde,Pale silvery,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Spotting Nargles,"13 February, 1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilderoy Lockhart,Male,Defence Against the Dark Arts(1992-1993),Ravenclaw,"9"" Cherry dragon heartstring",Non-corporeal,Human,Half-blood,Blond,Blue,,,26 January 1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filius Flitwick,Male,Professor of Charms | Head of Ravenclaw,Ravenclaw,Unknown,Non-corporeal,Human(goblin ancestry),Part-Goblin,White,,,Charms,17 October 1958 or earlier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sybill Patricia Trelawney,Female,Professor of Divination,Ravenclaw,9 ½” hazel unicorn hair core,Non-corporeal,Human,Half-blood,,,,"A Seer, though the gift is unpredictable and unconscious",9 March prior to 1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrick Ollivander,Male,Wandmaker,Ravenclaw,"12¾"" Hornbeam dragon heartstring",Non-corporeal,Human,Half-blood,,Silvery,,An incomparable understanding of wandcraft,"25 September, pre 1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtle Elizabeth Warren (Moaning Myrtle),Female,Student,Ravenclaw,Unknown,Unknown,Ghost,Muggle-born,,,,,14 June 1928 -13 June 1929,"13 June, 1943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padma Patil,Female,Student,Ravenclaw,Unknown,Non-corporeal,Human,Pure-blood or half-blood,Dark,Dark,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Prefect,1 September 1979 - 21 April 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Corner,Male,Student,Ravenclaw,Unknown,Squirrel,Human,Half-blood,Black,Brown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Potions,1 September 1979 - 31 August 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marietta Edgecombe,Female,Student,Ravenclaw,Unknown,Unknown,Human,Pure-blood or half-blood,Reddish-blonde,Grey,,Covering up the spots that blight her face after betraying Dumbledore's Army,1978-1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry Boot,Male,Student,Ravenclaw,Unknown,Unknown,Human,Pure-blood or half-blood,,,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,"Potions, also knowledgable about Charms",1 September 1979- 21 April 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Goldstein,Male,Student,Ravenclaw,Unknown,Non-corporeal,Human,Half-blood,Blonde,Grey,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Prefect,1 September 1979- 31 August 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severus Snape,Male,Professor of Potions | Head of Slytherin,Slytherin,Unknown,Doe,Human,Half-blood,Black,Black,,Extremely skilled at potions and Occlumency,9 January 1960,"2 May, 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draco Malfoy,Male,Student,Slytherin,"10"" Hawthorn unicorn hair",Unknown,Human,Pure-blood,White-blond,Grey,,"Prefect, Seeker","5 June, 1980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincent Crabbe,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood,Black,Black,,Beater,c. 1979-1980,"2 May, 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregory Goyle,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood,Brown,,,Beater,1 September 1979-31 August 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellatrix Lestrange,Female,,Slytherin,"12¾"" Walnut dragon heartstring",,Human,Pure-blood,Black,,Lord Voldemort  | Death Eaters,She is a duellist of great skill and an experienced Occlumens,1951,"2 May, 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolores Jane Umbridge,Female,Professor of Defence Against the Dark Arts | Department of Magical Law Enforcement,Slytherin,"8"" Birch dragon heartstring",Cat,Human,Half-blood,Iron grey,,Ministry of Magic,Her punishment quill is of her own invention,26 August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horace Eugene Flaccus Slughorn,,Professor of Potions,Slytherin,"10¼"" Cedar dragon heartstring fairly flexible",Non-corporeal,Human,Pure-blood or half-blood,Bald,Gooseberry,,"Accomplished Occlumens, expert Potioneer, advanced self-transfiguration",28 April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucius Malfoy,Male,School Governor,Slytherin,Elm and dragon heartstring,Unknown,Human,Pure-blood,White-blond,Grey,Lord Voldemort  | Death Eaters,Skilled duellist and potioneer,c. 1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narcissa Malfoy,Female,,Slytherin,Unknown,Unknown,Human,Pure-blood,Blonde,Blue,Lord Voldemort  | Death Eaters,,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regulus Arcturus Black,Male,,Slytherin,Unknown,Non-corporeal,Human,Pure-blood,Black,,,Seeker,1961,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pansy Parkinson,Female,Student,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,,,,Prefect,1 September 1979- 31 August 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise Zabini,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,Black,Brown,,Chaser,"1 September, 1979 – 21 April, 1980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Marvolo Riddle,Male,Student,Slytherin,"13½"" Yew phoenix feather core",Unknown,Human,Half-blood,Bald,Scarlet,,"Dark Lord, Outstanding manipulation, Parseltongue, Heir of Slytherin, Dark magic, Inferi creation and control",31 December 1926,"2 May, 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theodore Nott,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood,Brown,,,,"1 September, 1979 – 21 April, 1980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodolphus Lestrange,Male,,Slytherin,Unknown,Unknown,Human,Pure-blood,Dark,Dark,Lord Voldemort  | Death Eaters,,Pre 1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millicent Bulstrode,Female,Student,Slytherin,Unknown,Unknown,Human,Half-blood,Black,,,,1 September 1979- 31 August 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graham Montague,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,Brown,Brown,,"Quidditch captain, Chaser",In or prior to c.1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloody Baron,Male,Slytherin House Ghost,Slytherin,Unknown,Unknown,Ghost,Pure-blood or half-blood,,,,Controlling Peeves,Post 982,11th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Flint,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,Black,,,"Chaser, Captain",1 September 1975- 31 August 1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penelope Clearwater,Female,Student,Ravenclaw,Unknown,Non-corporeal,Human,Muggle-born or half-blood[,Blonde,,,Prefect,1 September 1975- 31 August 1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Davies,Male,Student,Ravenclaw,Unknown,Unknown,Human,,Dark,Dark,,"Quidditch Captain, Chaser",1 September 1977- 31 August 1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Belby,Male,Student,Ravenclaw,Unknown,Unknown,Human,Pure-blood or half-blood,Brown,Dark,,,1 September 1978 - 31 August 1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salazar Slytherin,Male,Founder of Slytherin,Slytherin,"snakewood, Basilisk horn",Unknown,Human,Pure-blood,Grey,Dark,,Accomplished Legilimens and one of the first recorded Parselmouths,Pre 976,11th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godric Gryffindor,Male,Founder of Gryffindor,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Red,Green,,The most accomplished duellist of his time,Pre 976,11th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowena Ravenclaw,Female,Founder of Ravenclaw,Ravenclaw,Unknown,Unknown,Human,Pure-blood or half-blood,Black,Dark,,"Extremely skilled witch, known for her intelligence and wisdom",Pre 976,11th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas de Mimsy-Porpington,Male,Gryffindor House Ghost,Gryffindor,Unknown,Unknown,Ghost,,Grey,,,,1401 -1475,"31 October, 1492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuthbert Binns,Male,Professor of History of Magic,,Unknown,Unknown,Ghost,,White (balding),Black,,Boring a class with facts that might be interesting if anyone else was giving the lesson,,Pre 1970s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barty Crouch Jr.,Male,Professor of Defence Against the Dark Arts (as Alastor Moody),,Unknown,Unknown,Human,Pure-blood or half-blood,Straw blond,"Pale, freckled",Lord Voldemort  | Death Eaters,Skilled potioneer,1962,1995-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charity Burbage,Female,Professor of Muggle Studies,,Unknown,Non-corporeal,Human,Pure-blood or half-blood,Blonde,,,Teaching and studying the Muggle world,Before 1976,"Late July, 1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firenze,Male,Professor of Divination,,,,Centaur,,White-blond,Astonishingly blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alecto Carrow,Female,Professor of Muggle Studies,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,,,Lord Voldemort  | Death Eaters,Spreading anti-Muggle propaganda,Pre 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amycus Carrow,Male,Professor of Dark Arts,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,,,Lord Voldemort  | Death Eaters,Cruciatus Curse,Pre 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helga Hufflepuff,Female,Founder of Hufflepuff,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,Brown,Blue,,Food-related Charms. Many traditional Hogwarts recipes originated with her,Pre 976,11th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat Friar,Male,Hufflepuff House Ghost,Hufflepuff,Unknown,Unknown,Ghost,,Brown,,,Curing peasants of the pox,10th century,Pre 1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helena Ravenclaw,Female,Ravenclaw House Ghost,Ravenclaw,Unknown,Unknown,Ghost,Pure-blood or half-blood,Black,Grey,,,Post 982,996-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nymphadora Tonks,Female,Auror,Hufflepuff,Unknown,"Jack rabbit, Wolf",Human,Half-blood,Variable,Variable,Ministry of Magic | Order of the Phoenix,"Talented Auror, Metamorphmagus",1 September 1972- 31 August 1973,"2 May, 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomona Sprout,Female,Professor of Herbology | Head of Hufflepuff House,Hufflepuff,Unknown,Non-corporeal,Human,Pure-blood or half-blood,,Grey,,Herbology,15 May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newton Scamander,Male,Employee in the Beast Division of the Department for the Regulation and Control of Magical Creatures,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,Red brown,Blue,,"Magizoology, Order of Merlin, Second Class",24 February 1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric Diggory,Male,Student,Hufflepuff,"12¼"", Ash, unicorn hair",Unknown,Human,Pure-blood,Dark,Grey,,Skilled Seeker,1 September - 30 October 1977,"24 June, 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Finch-Fletchley,Male,Student,Hufflepuff,Unknown,Non-corporeal,Human,Muggle-born,Red,,Dumbledore's Army,,1 September 1979- 31 August 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacharias Smith,Male,Student,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,Blonde,,Dumbledore's Army,Chaser,1 September 1979 - 2 May 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah Abbott,Female,Student,Hufflepuff,Unknown,Non-corporeal,Human,Half-blood,Blonde,Brown,Dumbledore's Army,"Defensive spells, learned with Dumbledore's Army",1 September 1979 - 31 August 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernest Macmillan,Male,Student,Hufflepuff,Unknown,Boar,Human,Pure-blood,Blond,,Dumbledore's Army,"Revising, being a Prefect, getting the wrong end of the stick",21 April 1980 - 31 August 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susan Bones,Female,Student,Hufflepuff,Unknown,Unknown,Human,Half-blood,,,Dumbledore's Army,"Defensive spells, learned with Dumbledore's Army",1 September 1979 - 31 August 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walden Macnair,Male,Executioner for the Committee for the Disposal of Dangerous Creatures,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,Black,,Lord Voldemort  | Death Eaters,Liaising with giants,In or before 1970s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augustus Rookwood,Male,Unspeakable,Slytherin,Unknown,,Human,Pure-blood or half-blood,Brown/greying,,Lord Voldemort  | Death Eaters,Spying for Lord Voldemort,pre 1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonin Dolohov,Male,Death Eater,Slytherin,Unknown,,Human,Pure-blood or Half-blood,Dark,,Lord Voldemort  | Death Eaters,Duelling. Fought and killed Molly Weasley's brothers and Remus Lupin,pre 1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corban Yaxley,Male,Head of the Department of Magical Law Enforcement,Slytherin,Unknown,,Human,Pure-blood or Half-blood,Blonde,Blue,Lord Voldemort  | Death Eaters,"Imperius curse, undercover work",Pre 1970s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Karkaroff,Male,Headmaster of Durmstrang Institute,,Unknown,,Human,Pure-blood or Half-blood,Silver| formerly black,,,Skilled in the Dark Arts,pre 1965,"24 June, 1995 – 31 July, 1996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsley Shacklebolt,Male,Auror  | Minister for Magic,,Unknown,Lynx,Human,Pure-blood,Bald,Black,Order of the Phoenix,Exceptionally skilled duellist and Auror,Pre 1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alastor Moody,Male,Auror,,Unknown,Non-corporeal,Human,Pure-blood,Grey,"One dark, one electric blue",Order of the Phoenix,"A highly accomplished Auror and an outstanding duellist, also skilled in non-verbal magic",Pre 1960,"27 July, 1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Longbottom,Female,Auror,,Unknown,Unknown,Human,Pure-blood,Blonde,,Original Order of the Phoenix,Auror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Longbottom,Male,Auror,Gryffindor,"Inherited by his son, Neville. It was broken in battle at the Department of Mysteries.",Unknown,Human,Pure-blood,Blonde,,Original Order of the Phoenix,Auror,1 September 1957 - 31 August 1959 or earlier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufus Scrimgeour,Male,Head of Auror Office| Minister for Magic,,Unknown,Non-corporeal,Human,,Tawny,Yellowish,Minister of Magic,Highly regarded as a skilled Auror,Pre 1968,"1 August, 1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornelius Oswald Fudge,Male,Minister for Magic,,Unknown,Non-corporeal,Human,Pure-blood or Half-blood,Grey,,Minister of Magic,Turning a blind eye to the continuing threat of Dark Magic in the name of keeping up morale,Pre 1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barty Crouch Sr.,Male,Head of the Department of International Magical Cooperation,,Unknown,Non-corporeal,Human,Pure-blood,Grey,,Minister of Magic,"Multilingual, able to fight the Imperius curse",Pre 1940,"27 May, 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
