id,name,gender,job,house,patronus,species,blood_status,loyalty,skills,birth,death,source,known_ingredients,effect,characteristics,incantation,type,entity_type,slug,alias_names,animagus,boggart,born,died,eye_color,family_members,hair_color,height,image,jobs,marital_status,nationality,romances,skin_color,titles,wands,weight,wiki,entity_id,category,creator,hand,light,difficulty,inventors,ingredients,manufacturers,side_effects,time,author,cover,dedication,pages,release_date,summary,title
11.0,Seamus Finnigan,Male,Student,Gryffindor,Fox,Human,Half-blood,Dumbledore's Army | Hogwarts School of Witchcraft and Wizardry,Pyrotechnics,1 September 1979- 31 August 1981,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Lily J. Potter,Female,,Gryffindor,Doe,Human,Muggle-born,Order of the Phoenix,,"30 January, 1960","31 October, 1981",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,James Potter,Male,,Gryffindor,Stag,Human,Pure-blood,Order of the Phoenix,Animagus| Seeker,"27 March, 1960","31 October, 1981",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,Sirius Black,Male,,Gryffindor,,Human,Pure-blood,Order of the Phoenix,Animagus| nonverbal magic| Charms,"3 November, 1959","18 June, 1996",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,Remus John Lupin,Male,Professor of Defence Against the Dark Arts,Gryffindor,Wolf,Werewolf,Half-blood,Order of the Phoenix,Exceptionally gifted in Defence Against the Dark Arts,"10 March, 1960","2 May, 1998",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,Peter Pettigrew,Male,The Servant of Lord Voldemort,Gryffindor,,Human,Half-blood or pure-blood,Lord Voldemort| Death Eaters,Animagus,1 September 1959- 31 August 1960,Late March 1998,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,Percy Ignatius Weasley,Male,Student|Prefect|  Personal assistant to Barty Crouch Snr,Gryffindor,,Human,Pure-blood,Order of the Phoenix| Hogwarts School of Witchcraft and Wizardry |British Ministry of Magic,Intelligent| hard-working| a model student,"22 August, 1976",,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,(Bill) William Arthur Weasley,Male,Curse-Breaker for Gringotts Bank,Gryffindor,,Human (Werewolf traits),Pure-blood,Order of the Phoenix,Highly skilled curse-breaker for Gringotts Wizarding Bank| very intelligent| past Hogwarts Head Boy,"29 November, 1970",,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,Charles Weasley,Male,Dragonologist,Gryffindor,,Human,Pure-blood,Order of the Phoenix | Gringotts Wizarding Bank,Highly skilled dragon trainer| one-time Gryffindor Seeker,"12 December, 1972",,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,Lee Jordan,Male,Student,Gryffindor,,Human,Pure-blood or half-blood,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Quidditch commentary | broadcasting,1 September 1977- 31 August 1978,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,Oliver Wood,Male,Student,Gryffindor,,Human,Pure-blood or Half-blood,Hogwarts School of Witchcraft and Wizardry,Keeper|  Captain of the Gryffindor Quidditch team,October 1975 - 31 August 1976,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,Angelina Johnson,Female,Student,Gryffindor,,Human,,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser,"24 – 30 October, 1977",,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,Katie Bell,Female,Student,Gryffindor,,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser,1 September 1978- 31 August 1979,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,Alicia Spinnet,Female,Student,Gryffindor,,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser,1 September 1977- 31 August 1978,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,Lavender Brown,Female,Student,Gryffindor,,Human,Pure-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Divination,1 September 1979- 31 August 1980,"2 May, 1998",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,Parvati Patil,Female,Student,Gryffindor,,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Divination,1 September 1979- 21 April 1980,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,Romilda Vane,Female,Student,Gryffindor,,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Spiking Chocolate Cauldrons with love potion,1 September 1981- 31 August 1982,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,Colin Creevey,Male,Student,Gryffindor,,Human,Muggle-born,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Photography,3 May - 31 August 1981,"2 May, 1998",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,Cormac McLaggen,Male,Student,Gryffindor,,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Quidditch Keeper,1 September 1978- 31 August 1979,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,Minerva McGonagall,Female,Professor of Transfiguration | Head of Gryffindor,Gryffindor,Cat,Human,Half-blood,Albus Dumbledore | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Animagus,4 October,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,Molly Weasley,Female,,Gryffindor,,Human,Pure-blood,Order of the Phoenix,Household spells| healing magic,"30 October, 1949",,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,Arthur Weasley,Male,Head of the Misuse of Muggle Artefacts Office,Gryffindor,Weasel,Human,Pure-blood,Order of the Phoenix| British Ministry of Magic,Muggle world works,"6 February, 1950",,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,Quirinus Quirrell,Male,Defence Against the Dark Arts(1991-1992),Ravenclaw,Non-corporeal,Human,Half-blood,Lord Voldemort,Learned in the theory of Defensive Magic| less adept in the practise,"26 September,1970 or earlier",4 June 1992,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,Cho Chang,Female,Student,Ravenclaw,Swan,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Seeker,1 September 1978-31 August 1979,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,Luna Lovegood,Female,Student,Ravenclaw,Hare,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Spotting Nargles,"13 February, 1981",,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,Gilderoy Lockhart,Male,Defence Against the Dark Arts(1992-1993),Ravenclaw,Non-corporeal,Human,Half-blood,,,26 January 1964,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,Filius Flitwick,Male,Professor of Charms | Head of Ravenclaw,Ravenclaw,Non-corporeal,Human(goblin ancestry),Part-Goblin,,Charms,17 October 1958 or earlier,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,Sybill Patricia Trelawney,Female,Professor of Divination,Ravenclaw,Non-corporeal,Human,Half-blood,,"A Seer, though the gift is unpredictable and unconscious",9 March prior to 1962,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,Garrick Ollivander,Male,Wandmaker,Ravenclaw,Non-corporeal,Human,Half-blood,,An incomparable understanding of wandcraft,"25 September, pre 1908",,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,Myrtle Elizabeth Warren (Moaning Myrtle),Female,Student,Ravenclaw,,Ghost,Muggle-born,,,14 June 1928 -13 June 1929,"13 June, 1943",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,Padma Patil,Female,Student,Ravenclaw,Non-corporeal,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Prefect,1 September 1979 - 21 April 1980,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,Michael Corner,Male,Student,Ravenclaw,Squirrel,Human,Half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Potions,1 September 1979 - 31 August 1980,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,Marietta Edgecombe,Female,Student,Ravenclaw,,Human,Pure-blood or half-blood,,Covering up the spots that blight her face after betraying Dumbledore's Army,1978-1979,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,Terry Boot,Male,Student,Ravenclaw,,Human,Pure-blood or half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,"Potions, also knowledgable about Charms",1 September 1979- 21 April 1980,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,Anthony Goldstein,Male,Student,Ravenclaw,Non-corporeal,Human,Half-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Prefect,1 September 1979- 31 August 1980,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,Severus Snape,Male,Professor of Potions | Head of Slytherin,Slytherin,Doe,Human,Half-blood,,Extremely skilled at potions and Occlumency,9 January 1960,"2 May, 1998",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,Draco Malfoy,Male,Student,Slytherin,,Human,Pure-blood,,"Prefect, Seeker","5 June, 1980",,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,Vincent Crabbe,Male,Student,Slytherin,,Human,Pure-blood,,Beater,c. 1979-1980,"2 May, 1998",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,Gregory Goyle,Male,Student,Slytherin,,Human,Pure-blood,,Beater,1 September 1979-31 August 1980,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,Bellatrix Lestrange,Female,,Slytherin,,Human,Pure-blood,Lord Voldemort  | Death Eaters,She is a duellist of great skill and an experienced Occlumens,1951,"2 May, 1998",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,Dolores Jane Umbridge,Female,Professor of Defence Against the Dark Arts | Department of Magical Law Enforcement,Slytherin,Cat,Human,Half-blood,Ministry of Magic,Her punishment quill is of her own invention,26 August,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,Horace Eugene Flaccus Slughorn,,Professor of Potions,Slytherin,Non-corporeal,Human,Pure-blood or half-blood,,"Accomplished Occlumens, expert Potioneer, advanced self-transfiguration",28 April,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,Lucius Malfoy,Male,School Governor,Slytherin,,Human,Pure-blood,Lord Voldemort  | Death Eaters,Skilled duellist and potioneer,c. 1954,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,Narcissa Malfoy,Female,,Slytherin,,Human,Pure-blood,Lord Voldemort  | Death Eaters,,1955,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,Regulus Arcturus Black,Male,,Slytherin,Non-corporeal,Human,Pure-blood,,Seeker,1961,1979,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,Pansy Parkinson,Female,Student,Slytherin,,Human,Pure-blood or half-blood,,Prefect,1 September 1979- 31 August 1980,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,Blaise Zabini,Male,Student,Slytherin,,Human,Pure-blood or half-blood,,Chaser,"1 September, 1979 – 21 April, 1980",,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,Tom Marvolo Riddle,Male,Student,Slytherin,,Human,Half-blood,,"Dark Lord, Outstanding manipulation, Parseltongue, Heir of Slytherin, Dark magic, Inferi creation and control",31 December 1926,"2 May, 1998",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,Theodore Nott,Male,Student,Slytherin,,Human,Pure-blood,,,"1 September, 1979 – 21 April, 1980",,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,Rodolphus Lestrange,Male,,Slytherin,,Human,Pure-blood,Lord Voldemort  | Death Eaters,,Pre 1964,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,Millicent Bulstrode,Female,Student,Slytherin,,Human,Half-blood,,,1 September 1979- 31 August 1980,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,Graham Montague,Male,Student,Slytherin,,Human,Pure-blood or half-blood,,"Quidditch captain, Chaser",In or prior to c.1981,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,Bloody Baron,Male,Slytherin House Ghost,Slytherin,,Ghost,Pure-blood or half-blood,,Controlling Peeves,Post 982,11th century,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,Marcus Flint,Male,Student,Slytherin,,Human,Pure-blood or half-blood,,"Chaser, Captain",1 September 1975- 31 August 1976,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,Penelope Clearwater,Female,Student,Ravenclaw,Non-corporeal,Human,Muggle-born or half-blood[,,Prefect,1 September 1975- 31 August 1976,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,Roger Davies,Male,Student,Ravenclaw,,Human,,,"Quidditch Captain, Chaser",1 September 1977- 31 August 1978,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,Marcus Belby,Male,Student,Ravenclaw,,Human,Pure-blood or half-blood,,,1 September 1978 - 31 August 1979,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,Salazar Slytherin,Male,Founder of Slytherin,Slytherin,,Human,Pure-blood,,Accomplished Legilimens and one of the first recorded Parselmouths,Pre 976,11th century,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,Godric Gryffindor,Male,Founder of Gryffindor,Gryffindor,,Human,Pure-blood or half-blood,,The most accomplished duellist of his time,Pre 976,11th century,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,Rowena Ravenclaw,Female,Founder of Ravenclaw,Ravenclaw,,Human,Pure-blood or half-blood,,"Extremely skilled witch, known for her intelligence and wisdom",Pre 976,11th century,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,Nicholas de Mimsy-Porpington,Male,Gryffindor House Ghost,Gryffindor,,Ghost,,,,1401 -1475,"31 October, 1492",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,Cuthbert Binns,Male,Professor of History of Magic,,,Ghost,,,Boring a class with facts that might be interesting if anyone else was giving the lesson,,Pre 1970s,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,Barty Crouch Jr.,Male,Professor of Defence Against the Dark Arts (as Alastor Moody),,,Human,Pure-blood or half-blood,Lord Voldemort  | Death Eaters,Skilled potioneer,1962,1995-1996,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,Charity Burbage,Female,Professor of Muggle Studies,,Non-corporeal,Human,Pure-blood or half-blood,,Teaching and studying the Muggle world,Before 1976,"Late July, 1997",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,Firenze,Male,Professor of Divination,,,Centaur,,,,,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,Alecto Carrow,Female,Professor of Muggle Studies,Slytherin,,Human,Pure-blood or half-blood,Lord Voldemort  | Death Eaters,Spreading anti-Muggle propaganda,Pre 1981,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,Amycus Carrow,Male,Professor of Dark Arts,Slytherin,,Human,Pure-blood or half-blood,Lord Voldemort  | Death Eaters,Cruciatus Curse,Pre 1982,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,Helga Hufflepuff,Female,Founder of Hufflepuff,Hufflepuff,,Human,Pure-blood or half-blood,,Food-related Charms. Many traditional Hogwarts recipes originated with her,Pre 976,11th century,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,Fat Friar,Male,Hufflepuff House Ghost,Hufflepuff,,Ghost,,,Curing peasants of the pox,10th century,Pre 1988,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,Helena Ravenclaw,Female,Ravenclaw House Ghost,Ravenclaw,,Ghost,Pure-blood or half-blood,,,Post 982,996-1000,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,Nymphadora Tonks,Female,Auror,Hufflepuff,"Jack rabbit, Wolf",Human,Half-blood,Ministry of Magic | Order of the Phoenix,"Talented Auror, Metamorphmagus",1 September 1972- 31 August 1973,"2 May, 1998",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.0,Pomona Sprout,Female,Professor of Herbology | Head of Hufflepuff House,Hufflepuff,Non-corporeal,Human,Pure-blood or half-blood,,Herbology,15 May,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.0,Newton Scamander,Male,Employee in the Beast Division of the Department for the Regulation and Control of Magical Creatures,Hufflepuff,,Human,Pure-blood or half-blood,,"Magizoology, Order of Merlin, Second Class",24 February 1897,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.0,Cedric Diggory,Male,Student,Hufflepuff,,Human,Pure-blood,,Skilled Seeker,1 September - 30 October 1977,"24 June, 1995",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,Justin Finch-Fletchley,Male,Student,Hufflepuff,Non-corporeal,Human,Muggle-born,Dumbledore's Army,,1 September 1979- 31 August 1980,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.0,Zacharias Smith,Male,Student,Hufflepuff,,Human,Pure-blood or half-blood,Dumbledore's Army,Chaser,1 September 1979 - 2 May 1981,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,Hannah Abbott,Female,Student,Hufflepuff,Non-corporeal,Human,Half-blood,Dumbledore's Army,"Defensive spells, learned with Dumbledore's Army",1 September 1979 - 31 August 1980,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.0,Ernest Macmillan,Male,Student,Hufflepuff,Boar,Human,Pure-blood,Dumbledore's Army,"Revising, being a Prefect, getting the wrong end of the stick",21 April 1980 - 31 August 1980,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.0,Susan Bones,Female,Student,Hufflepuff,,Human,Half-blood,Dumbledore's Army,"Defensive spells, learned with Dumbledore's Army",1 September 1979 - 31 August 1980,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,Walden Macnair,Male,Executioner for the Committee for the Disposal of Dangerous Creatures,Slytherin,,Human,Pure-blood or half-blood,Lord Voldemort  | Death Eaters,Liaising with giants,In or before 1970s,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.0,Augustus Rookwood,Male,Unspeakable,Slytherin,,Human,Pure-blood or half-blood,Lord Voldemort  | Death Eaters,Spying for Lord Voldemort,pre 1964,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.0,Antonin Dolohov,Male,Death Eater,Slytherin,,Human,Pure-blood or Half-blood,Lord Voldemort  | Death Eaters,Duelling. Fought and killed Molly Weasley's brothers and Remus Lupin,pre 1950,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.0,Corban Yaxley,Male,Head of the Department of Magical Law Enforcement,Slytherin,,Human,Pure-blood or Half-blood,Lord Voldemort  | Death Eaters,"Imperius curse, undercover work",Pre 1970s,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.0,Igor Karkaroff,Male,Headmaster of Durmstrang Institute,,,Human,Pure-blood or Half-blood,,Skilled in the Dark Arts,pre 1965,"24 June, 1995 – 31 July, 1996",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.0,Kingsley Shacklebolt,Male,Auror  | Minister for Magic,,Lynx,Human,Pure-blood,Order of the Phoenix,Exceptionally skilled duellist and Auror,Pre 1973,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.0,Alastor Moody,Male,Auror,,Non-corporeal,Human,Pure-blood,Order of the Phoenix,"A highly accomplished Auror and an outstanding duellist, also skilled in non-verbal magic",Pre 1960,"27 July, 1997",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.0,Alice Longbottom,Female,Auror,,,Human,Pure-blood,Original Order of the Phoenix,Auror,,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.0,Frank Longbottom,Male,Auror,Gryffindor,,Human,Pure-blood,Original Order of the Phoenix,Auror,1 September 1957 - 31 August 1959 or earlier,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.0,Rufus Scrimgeour,Male,Head of Auror Office| Minister for Magic,,Non-corporeal,Human,,Minister of Magic,Highly regarded as a skilled Auror,Pre 1968,"1 August, 1997",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,Cornelius Oswald Fudge,Male,Minister for Magic,,Non-corporeal,Human,Pure-blood or Half-blood,Minister of Magic,Turning a blind eye to the continuing threat of Dark Magic in the name of keeping up morale,Pre 1964,,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.0,Barty Crouch Sr.,Male,Head of the Department of International Magical Cooperation,,Non-corporeal,Human,Pure-blood,Minister of Magic,"Multilingual, able to fight the Imperius curse",Pre 1940,"27 May, 1995",characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
